,62.4293036_6.3280543,62.4728130_6.1584737,62.4648029_6.1111520,62.4749043_6.2216744,62.4719208_6.1427615,62.4677730_6.3069108,62.4726771_6.1614843,62.5581807_6.2647180,62.4695645_6.6247074,62.4735740_6.1568680,62.4728964_6.1563672,62.4699296_6.1460985,62.4712466_6.1538577,62.4712260_6.1528700,62.4714696_6.1536135,62.4752591_6.1530952,62.4714804_6.1512358,62.4712404_6.1617014,62.4744125_6.1566436,62.4756638_6.1552199,62.4713488_6.1559244,62.4709540_6.1530810,62.4755287_6.1560491,62.4695051_6.1521612,62.4744062_6.1557970,62.4727740_6.1650560,62.4716873_6.1609571,62.4727409_6.2309420,62.4731906_6.1567012,62.4604828_6.2686763,62.4643885_6.3172074,62.4723101_6.1583677,62.4746740_6.1569160,62.4752788_6.1565513,62.4697710_6.1256370,62.4735516_6.1564804,62.4715115_6.2065205,62.4700820_6.1400480,62.4273801_6.3156902,62.4723820_6.2406150,62.4710560_6.1666930,62.4636310_6.3125440,62.4729228_6.1581093,62.4713742_6.1591680,62.4712141_6.1588682,62.4728188_6.1583341,62.4718628_6.1603005,62.4712525_6.1578843,62.4725947_6.1574179,62.4819990_6.1853070,62.4725015_6.1581388,62.4720040_6.2358180,62.4660480_6.3563750,62.4648170_6.3515225,62.4650820_6.3515200,62.4651818_6.3478662,62.4629970_6.3630480,62.4660900_6.1094880,62.4708459_6.1312305,62.4713955_6.1594019,62.4719148_6.1593252,62.4667330_6.1136780,62.4666932_6.1141750,62.4722192_6.1522983,62.4749561_6.1563663,62.4703741_6.1502732,62.6719230_6.6749030,62.4366350_6.3705230,62.4710580_6.3421710,62.4716084_6.3453172,62.4714714_6.3447286,62.4622693_6.3640886,62.4420250_6.3719770,62.4635290_6.3644850,62.4717260_6.3633530,62.4319749_6.4127797,62.4664420_6.3512370,62.4669725_6.3502766,62.4624300_6.3636223,62.4673802_6.3564385,62.4842080_6.3899840,62.4686300_6.3477760,62.4666080_6.2460440,62.4683680_6.2920740,62.4420055_6.2580881,62.4431074_6.2726405,62.4444111_6.1943517,62.4424369_6.1886657,62.4415864_6.2751885,62.4390436_6.1854688,62.4246541_6.3055775,62.4421478_6.1903413,62.4376538_6.1879915,62.4407026_6.1998007,62.4378240_6.2349440,62.4402429_6.2730816
62.4431074_6.2726405,8802.2,22655.9,25726.0,19628.3,23587.7,15138.0,22659.1,55350.8,25703.1,22779.3,22755.1,23178.6,22902.1,22921.0,22882.7,23211.9,22955.6,22339.7,23041.7,23071.5,22645.9,22892.2,23296.6,22997.8,23031.1,22562.6,22676.3,19003.5,22787.1,16360.2,14098.0,22863.9,23065.8,23263.5,24309.3,22927.4,20543.6,23483.3,5354.7,18710.2,22086.4,14177.4,22677.0,22579.7,22461.7,22663.1,22509.7,22521.4,22753.2,22967.1,22864.3,18831.7,11883.6,11819.1,11810.7,12198.7,11744.4,25591.0,24023.9,22592.0,22553.5,25375.0,25405.9,23078.6,23255.6,22955.6,66688.0,9164.1,12810.4,12652.0,12654.8,11578.1,9878.2,11744.5,13128.7,12037.0,12171.3,12124.5,11630.8,12121.2,15220.9,12336.3,17584.6,15263.7,1116.1,0.0,5375.6,5307.0,685.5,5580.9,4853.6,5283.9,5499.3,4643.8,2744.9,517.1
62.4444111_6.1943517,13709.5,27563.2,30633.4,24535.6,28495.1,20045.3,27566.4,60258.2,30610.5,27686.7,27662.5,28085.9,27809.5,27828.3,27790.0,28119.2,27863.0,27247.0,27949.0,27978.8,27553.3,27799.6,28204.0,27905.2,27938.5,27469.9,27583.7,23910.8,27694.5,21267.6,19005.4,27771.3,27973.2,28170.8,29216.7,27834.7,25451.0,28390.6,10262.1,23617.5,26993.7,19084.7,27584.4,27487.1,27369.1,27570.4,27417.1,27428.7,27660.5,27874.5,27771.6,23739.1,16790.9,16726.4,16718.0,17106.1,16651.8,30498.3,28931.3,27499.4,27460.8,30282.4,30313.2,27985.9,28162.9,27862.9,71595.3,14071.4,17717.7,17559.4,17562.2,16485.5,14785.5,16651.9,18036.0,16944.4,17078.6,17031.9,16538.1,17028.5,20128.3,17243.6,22491.9,20171.1,4713.9,5375.6,0.0,572.5,5592.9,1220.7,9761.0,584.7,1139.0,1165.3,2691.1,5424.4
62.4424369_6.1886657,13640.9,27494.6,30564.8,24467.0,28426.5,19976.7,27497.8,60189.6,30541.9,27618.1,27593.9,28017.3,27740.9,27759.7,27721.4,28050.6,27794.4,27178.4,27880.4,27910.2,27484.7,27731.0,28135.4,27836.6,27869.9,27401.3,27515.1,23842.2,27625.9,21199.0,18936.8,27702.7,27904.6,28102.2,29148.1,27766.1,25382.4,28322.0,10193.5,23548.9,26925.1,19016.1,27515.7,27418.5,27300.5,27501.8,27348.5,27360.1,27591.9,27805.9,27703.0,23670.5,16722.3,16657.8,16649.4,17037.5,16583.2,30429.7,28862.7,27430.8,27392.2,30213.8,30244.6,27917.3,28094.3,27794.3,71526.7,14002.8,17649.1,17490.8,17493.6,16416.8,14716.9,16583.3,17967.4,16875.8,17010.0,16963.3,16469.5,16959.9,20059.7,17175.0,22423.3,20102.5,4645.3,5307.0,572.5,0.0,5524.3,731.6,9692.4,95.6,650.0,676.2,2622.5,5355.8
62.4415864_6.2751885,8540.6,22394.3,25464.5,19366.7,23326.2,14876.4,22397.5,55089.3,25441.6,22517.8,22493.6,22917.1,22640.6,22659.5,22621.1,22950.3,22694.1,22078.1,22780.2,22809.9,22384.4,22630.7,23035.1,22736.3,22769.6,22301.1,22414.8,18741.9,22525.6,16098.7,13836.5,22602.4,22804.3,23001.9,24047.8,22665.8,20282.1,23221.7,5093.2,18448.6,21824.8,13915.9,22415.5,22318.2,22200.2,22401.5,22248.2,22259.8,22491.7,22705.6,22602.8,18570.2,11622.0,11557.5,11549.1,11937.2,11482.9,25329.4,23762.4,22330.5,22291.9,25113.5,25144.3,22817.0,22994.0,22694.0,66426.4,8902.5,12548.8,12390.5,12393.3,11316.6,9616.6,11483.0,12867.1,11775.5,11909.8,11863.0,11369.2,11859.6,14959.4,12074.7,17323.0,15002.2,1333.3,685.5,5592.9,5524.3,0.0,5798.2,4592.1,5501.2,5716.6,4861.1,2962.1,207.3
62.4390436_6.1854688,13914.8,27768.5,30838.7,24740.9,28700.4,20250.6,27771.7,60463.5,30815.8,27892.0,27867.8,28291.3,28014.8,28033.7,27995.3,28324.5,28068.3,27452.3,28154.4,28184.1,27758.6,28004.9,28409.3,28110.5,28143.8,27675.3,27789.0,24116.1,27899.8,21472.9,19210.7,27976.6,28178.5,28376.1,29422.0,28040.0,25656.3,28595.9,10467.4,23822.8,27199.0,19290.1,27789.7,27692.4,27574.4,27775.7,27622.4,27634.0,27865.9,28079.8,27977.0,23944.4,16996.2,16931.7,16923.3,17311.4,16857.1,30703.6,29136.6,27704.7,27666.1,30487.7,30518.5,28191.2,28368.2,28068.2,71800.6,14276.7,17923.0,17764.7,17767.5,16690.8,14990.8,16857.2,18241.3,17149.7,17284.0,17237.2,16743.4,17233.8,20333.6,17448.9,22697.2,20376.4,4919.3,5580.9,1220.7,731.6,5798.2,0.0,9966.3,708.5,416.3,950.2,2896.4,5629.8
62.4246541_6.3055775,4354.0,18207.7,21277.8,15180.1,19139.5,10689.8,18210.9,50902.6,21254.9,18331.1,18306.9,18730.4,18453.9,18472.8,18434.5,18763.7,18507.4,17891.5,18593.5,18623.3,18197.7,18444.0,18848.4,18549.6,18582.9,18114.4,18228.1,14555.3,18338.9,11912.0,9649.8,18415.7,18617.6,18815.3,19861.1,18479.2,16095.4,19035.1,906.5,14262.0,17638.2,9729.2,18228.8,18131.5,18013.5,18214.9,18061.5,18073.2,18305.0,18518.9,18416.1,14383.5,7435.4,7370.9,7362.5,7750.5,7296.2,21142.8,19575.7,18143.8,18105.3,20926.8,20957.7,18630.4,18807.4,18507.4,62239.8,4715.9,8362.2,8203.8,8206.6,7129.9,5430.0,7296.3,8680.5,7588.8,7723.1,7676.4,7182.6,7673.0,10772.7,7888.1,13136.4,10815.5,5495.4,4847.5,9754.9,9686.3,4586.0,9960.2,0.0,9663.2,9878.6,9023.1,7124.2,4417.6
62.4421478_6.1903413,13617.8,27471.5,30541.7,24443.9,28403.3,19953.6,27474.7,60166.5,30518.8,27595.0,27570.8,27994.2,27717.8,27736.6,27698.3,28027.5,27771.3,27155.3,27857.3,27887.1,27461.5,27707.9,28112.3,27813.5,27846.8,27378.2,27492.0,23819.1,27602.7,21175.9,18913.6,27679.6,27881.5,28079.1,29125.0,27743.0,25359.3,28298.9,10170.4,23525.8,26902.0,18993.0,27492.6,27395.4,27277.4,27478.7,27325.4,27337.0,27568.8,27782.7,27679.9,23647.3,16699.2,16634.7,16626.3,17014.4,16560.1,30406.6,28839.6,27407.6,27369.1,30190.7,30221.5,27894.2,28071.2,27771.2,71503.6,13979.7,17626.0,17467.7,17470.5,16393.7,14693.8,16560.1,17944.3,16852.7,16986.9,16940.2,16446.4,16936.8,20036.6,17151.9,22400.2,20079.3,4622.2,5283.9,584.7,95.6,5501.2,708.5,9669.3,0.0,626.9,653.1,2599.4,5332.7
62.4376538_6.1879915,13833.2,27686.9,30757.1,24659.3,28618.7,20169.0,27690.1,60381.9,30734.2,27810.4,27786.2,28209.6,27933.2,27952.0,27913.7,28242.9,27986.7,27370.7,28072.7,28102.5,27676.9,27923.3,28327.7,28028.9,28062.2,27593.6,27707.4,24034.5,27818.2,21391.3,19129.0,27895.0,28096.9,28294.5,29340.4,27958.4,25574.7,28514.3,10385.8,23741.2,27117.4,19208.4,27708.0,27610.8,27492.8,27694.1,27540.8,27552.4,27784.2,27998.2,27895.3,23862.7,16914.6,16850.1,16841.7,17229.8,16775.5,30622.0,29055.0,27623.0,27584.5,30406.1,30436.9,28109.6,28286.6,27986.6,71719.0,14195.1,17841.4,17683.1,17685.9,16609.1,14909.2,16775.5,18159.7,17068.1,17202.3,17155.6,16661.8,17152.2,20252.0,17367.3,22615.6,20294.8,4837.6,5499.3,1139.0,650.0,5716.6,416.3,9884.7,626.9,0.0,868.5,2814.8,5548.1
62.4407026_6.1998007,12977.7,26831.5,29901.6,23803.8,27763.3,19313.5,26834.7,59526.4,29878.7,26954.9,26930.7,27354.2,27077.7,27096.6,27058.3,27387.4,27131.2,26515.3,27217.3,27247.1,26821.5,27067.8,27472.2,27173.4,27206.7,26738.2,26851.9,23179.0,26962.7,20535.8,18273.6,27039.5,27241.4,27439.0,28484.9,27102.9,24719.2,27658.8,9530.3,22885.7,26261.9,18353.0,26852.6,26755.3,26637.3,26838.6,26685.3,26696.9,26928.8,27142.7,27039.9,23007.3,16059.2,15994.6,15986.3,16374.3,15920.0,29766.5,28199.5,26767.6,26729.0,29550.6,29581.4,27254.1,27431.1,27131.1,70863.5,13339.7,16985.9,16827.6,16830.4,15753.7,14053.7,15920.1,17304.3,16212.6,16346.9,16300.1,15806.3,16296.7,19396.5,16511.8,21760.1,19439.3,3982.2,4643.8,1165.3,676.3,4861.1,950.2,9029.2,653.1,868.6,0.0,1959.3,4692.7
62.4378240_6.2349440,11078.8,24932.5,28002.6,21904.9,25864.3,17414.6,24935.7,57627.4,27979.8,25056.0,25031.7,25455.2,25178.7,25197.6,25159.3,25488.5,25232.2,24616.3,25318.3,25348.1,24922.5,25168.8,25573.2,25274.4,25307.7,24839.2,24953.0,21280.1,25063.7,18636.8,16374.6,25140.5,25342.4,25540.1,26585.9,25204.0,22820.2,25759.9,7631.3,20986.8,24363.0,16454.0,24953.6,24856.3,24738.3,24939.7,24786.3,24798.0,25029.8,25243.7,25140.9,21108.3,14160.2,14095.7,14087.3,14475.3,14021.0,27867.6,26300.6,24868.6,24830.1,27651.6,27682.5,25355.2,25532.2,25232.2,68964.6,11440.7,15087.0,14928.6,14931.4,13854.7,12154.8,14021.1,15405.3,14313.6,14447.9,14401.2,13907.4,14397.8,17497.5,14612.9,19861.2,17540.3,2083.2,2744.9,2691.1,2622.5,2962.1,2896.4,7130.3,2599.4,2814.8,1959.3,0.0,2793.7
62.4402429_6.2730816,8372.2,22225.9,25296.1,19198.3,23157.7,14708.0,22229.1,54920.9,25273.2,22349.4,22325.2,22748.6,22472.2,22491.0,22452.7,22781.9,22525.7,21909.7,22611.7,22641.5,22215.9,22462.3,22866.7,22567.9,22601.2,22132.6,22246.4,18573.5,22357.2,15930.3,13668.0,22434.0,22635.9,22833.5,23879.4,22497.4,20113.7,23053.3,4924.8,18280.2,21656.4,13747.4,22247.0,22149.8,22031.8,22233.1,22079.8,22091.4,22323.2,22537.2,22434.3,18401.7,11453.6,11389.1,11380.7,11768.8,11314.5,25161.0,23594.0,22162.0,22123.5,24945.1,24975.9,22648.6,22825.6,22525.6,66258.0,8734.1,12380.4,12222.1,12224.9,11148.1,9448.2,11314.5,12698.7,11607.1,11741.3,11694.6,11200.8,11691.2,14791.0,11906.3,17154.6,14833.8,1164.9,517.1,5424.4,5355.9,191.6,5629.8,4423.7,5332.8,5548.2,4692.7,2793.7,0.0
