,62.4293036_6.3280543,62.4728130_6.1584737,62.4648029_6.1111520,62.4749043_6.2216744,62.4719208_6.1427615,62.4677730_6.3069108,62.4726771_6.1614843,62.5581807_6.2647180,62.4695645_6.6247074,62.4735740_6.1568680,62.4728964_6.1563672,62.4699296_6.1460985,62.4712466_6.1538577,62.4712260_6.1528700,62.4714696_6.1536135,62.4752591_6.1530952,62.4714804_6.1512358,62.4712404_6.1617014,62.4744125_6.1566436,62.4756638_6.1552199,62.4713488_6.1559244,62.4709540_6.1530810,62.4755287_6.1560491,62.4695051_6.1521612,62.4744062_6.1557970,62.4727740_6.1650560,62.4716873_6.1609571,62.4727409_6.2309420,62.4731906_6.1567012,62.4604828_6.2686763,62.4643885_6.3172074,62.4723101_6.1583677,62.4746740_6.1569160,62.4752788_6.1565513,62.4697710_6.1256370,62.4735516_6.1564804,62.4715115_6.2065205,62.4700820_6.1400480,62.4273801_6.3156902,62.4723820_6.2406150,62.4710560_6.1666930,62.4636310_6.3125440,62.4729228_6.1581093,62.4713742_6.1591680,62.4712141_6.1588682,62.4728188_6.1583341,62.4718628_6.1603005,62.4712525_6.1578843,62.4725947_6.1574179,62.4819990_6.1853070,62.4725015_6.1581388,62.4720040_6.2358180,62.4660480_6.3563750,62.4648170_6.3515225,62.4650820_6.3515200,62.4651818_6.3478662,62.4629970_6.3630480,62.4660900_6.1094880,62.4708459_6.1312305,62.4713955_6.1594019,62.4719148_6.1593252,62.4667330_6.1136780,62.4666932_6.1141750,62.4722192_6.1522983,62.4749561_6.1563663,62.4703741_6.1502732,62.6719230_6.6749030,62.4366350_6.3705230,62.4710580_6.3421710,62.4716084_6.3453172,62.4714714_6.3447286,62.4622693_6.3640886,62.4420250_6.3719770,62.4635290_6.3644850,62.4717260_6.3633530,62.4319749_6.4127797,62.4664420_6.3512370,62.4669725_6.3502766,62.4624300_6.3636223,62.4673802_6.3564385,62.4842080_6.3899840,62.4686300_6.3477760,62.4666080_6.2460440,62.4683680_6.2920740,62.4420055_6.2580881,62.4431074_6.2726405,62.4444111_6.1943517,62.4424369_6.1886657,62.4415864_6.2751885,62.4390436_6.1854688,62.4246541_6.3055775,62.4421478_6.1903413,62.4376538_6.1879915,62.4407026_6.1998007,62.4378240_6.2349440,62.4402429_6.2730816
62.4712525_6.1578843,1273.5,39.5,371.4,444.8,174.1,790.2,51.0,3269.4,2172.2,56.1,48.4,116.7,72.8,74.5,71.1,97.0,95.7,37.6,70.2,81.7,68.3,76.6,106.5,135.0,79.0,67.5,17.5,360.2,56.9,573.3,652.9,67.0,68.1,101.7,226.9,77.3,246.0,144.3,1195.0,363.2,59.8,690.5,41.3,8.8,47.9,40.2,36.8,0.0,52.5,206.7,67.1,389.1,889.3,832.6,825.3,804.1,919.7,375.3,199.2,9.9,32.8,313.6,325.8,106.8,100.8,101.8,5181.2,1153.6,802.9,770.3,774.5,872.9,1066.8,881.0,827.6,1183.3,823.5,793.5,887.3,810.1,989.1,814.4,401.9,532.5,1703.0,1647.1,2071.6,2041.0,1624.7,2066.2,1281.8,2037.9,2044.3,1979.4,1807.7,1609.2
62.4725947_6.1574179,1287.4,10.1,335.3,458.7,138.0,804.1,24.4,3283.3,2186.1,35.0,12.3,80.6,36.7,38.4,35.0,73.1,59.6,56.3,49.1,60.6,65.0,40.5,82.6,100.5,56.6,40.9,36.2,374.1,35.8,587.2,666.8,14.5,47.0,77.8,190.8,41.2,259.9,108.2,1208.9,377.1,71.9,704.4,8.3,46.1,61.1,9.4,32.7,69.0,0.0,220.6,14.6,403.0,903.2,846.5,839.2,818.0,933.6,339.2,163.1,47.2,27.3,277.5,289.7,70.7,76.9,65.7,5195.1,1167.5,816.8,784.2,788.4,886.8,1080.7,894.9,841.5,1197.2,837.4,807.4,901.2,824.0,1003.0,828.3,415.8,546.4,1716.9,1661.0,2085.5,2054.9,1638.6,2080.1,1295.7,2051.8,2058.2,1993.3,1821.6,1623.1
62.4819990_6.1853070,1264.2,199.3,509.4,435.5,312.1,780.9,208.7,3062.7,2162.9,215.9,208.2,254.7,226.3,228.0,224.6,254.7,233.7,172.5,234.2,241.5,195.4,227.5,264.2,262.1,238.2,206.3,198.9,350.9,216.7,564.0,643.6,226.8,236.3,259.4,364.9,222.8,236.7,282.3,1185.7,353.9,141.4,681.2,201.1,190.2,175.0,200.0,190.5,181.4,212.3,0.0,226.9,379.8,880.0,823.3,816.0,794.8,910.4,513.3,337.2,191.3,186.5,451.6,463.8,244.8,258.5,239.8,4974.5,1144.3,793.6,761.0,765.2,863.6,1057.5,871.7,818.3,1174.0,814.2,784.2,878.0,800.8,979.8,805.1,392.6,523.2,1693.7,1637.8,2062.3,2031.7,1615.4,2056.9,1272.5,2028.6,2035.0,1970.1,1798.4,1599.9
62.4725015_6.1581388,1298.9,21.6,346.8,470.2,149.5,815.6,35.9,3294.8,2197.6,46.5,23.8,92.1,48.2,49.9,46.5,84.6,71.1,67.8,60.6,72.1,76.5,52.0,94.1,112.0,68.1,52.4,47.7,385.6,47.3,598.7,678.3,0.1,58.5,89.3,202.3,52.7,271.4,119.7,1220.4,388.6,83.4,715.9,19.8,57.6,72.6,20.9,44.2,80.5,11.5,232.1,0.0,414.5,914.7,858.0,850.7,829.5,945.1,350.7,174.6,58.7,38.8,289.0,301.2,82.2,88.4,77.2,5206.6,1179.0,828.3,795.7,799.9,898.3,1092.2,906.4,853.0,1208.7,848.9,818.9,912.7,835.5,1014.5,839.8,427.3,557.9,1728.4,1672.5,2097.0,2066.4,1650.1,2091.6,1307.2,2063.3,2069.7,2004.8,1833.1,1634.6
62.4720040_6.2358180,1056.5,355.9,666.0,217.7,468.7,573.2,365.3,3086.2,1955.2,372.5,364.8,411.3,382.9,384.6,381.2,411.3,390.3,329.1,390.8,398.1,352.0,384.1,420.8,418.7,394.8,362.9,355.5,78.1,373.3,326.3,435.9,383.4,392.9,416.0,521.5,379.4,205.2,438.9,978.0,59.1,298.0,473.5,357.7,346.8,331.6,356.6,347.1,338.0,368.9,339.6,383.5,0.0,672.3,615.6,608.3,587.1,702.7,669.9,493.8,347.9,343.1,608.2,620.4,401.4,415.1,396.4,4998.0,936.6,585.9,553.3,557.5,655.9,849.8,664.0,610.6,966.3,606.5,576.5,670.3,593.1,772.1,597.4,154.9,315.5,1486.0,1430.1,1854.6,1824.0,1407.7,1849.2,1064.8,1820.9,1827.3,1762.4,1590.7,1392.2
62.4660480_6.3563750,560.1,881.8,1191.9,783.5,994.6,452.6,891.2,2661.1,1458.8,898.4,890.7,937.2,908.8,910.5,907.1,937.2,916.2,855.0,916.7,924.0,877.9,910.0,946.7,944.6,920.7,888.8,881.4,666.3,899.2,602.9,335.3,909.3,918.8,941.9,1047.4,905.3,745.1,964.8,481.6,645.9,823.9,380.8,883.6,872.7,857.5,882.5,873.0,863.9,894.8,865.5,909.4,671.8,0.0,104.1,96.8,139.1,206.6,1195.8,1019.7,873.8,869.0,1134.1,1146.3,927.3,941.0,922.3,4572.9,440.2,217.7,185.1,189.3,159.5,353.4,167.9,218.8,469.9,145.9,115.9,174.2,125.8,355.6,136.8,662.1,449.7,989.6,933.7,1358.2,1327.6,911.3,1352.8,568.4,1324.5,1330.9,1266.0,1094.3,895.8
62.4648170_6.3515225,519.5,847.2,1157.3,748.9,960.0,385.8,856.6,2627.7,1418.2,863.8,856.1,902.6,874.2,875.9,872.5,902.6,881.6,820.4,882.1,889.4,843.3,875.4,912.1,910.0,886.1,854.2,846.8,631.7,864.6,536.1,268.5,874.7,884.2,907.3,1012.8,870.7,710.5,930.2,441.0,611.3,789.3,314.0,849.0,838.1,822.9,847.9,838.4,829.3,860.2,830.9,874.8,637.2,108.1,0.0,10.7,72.3,167.1,1161.2,985.1,839.2,834.4,1099.5,1111.7,892.7,906.4,887.7,4539.5,399.6,184.3,151.7,155.9,118.9,312.8,134.5,185.4,429.3,112.5,82.5,134.7,92.4,322.2,100.9,595.3,382.9,949.0,893.1,1317.6,1287.0,870.7,1312.2,527.8,1283.9,1290.3,1225.4,1053.7,855.2
62.4650820_6.3515200,515.5,843.2,1153.3,744.9,956.0,381.8,852.6,2623.7,1414.2,859.8,852.1,898.6,870.2,871.9,868.5,898.6,877.6,816.4,878.1,885.4,839.3,871.4,908.1,906.0,882.1,850.2,842.8,627.7,860.6,532.1,264.5,870.7,880.2,903.3,1008.8,866.7,706.5,926.2,437.0,607.3,785.3,310.0,845.0,834.1,818.9,843.9,834.4,825.3,856.2,826.9,870.8,633.2,104.1,8.4,0.0,68.3,163.1,1157.2,981.1,835.2,830.4,1095.5,1107.7,888.7,902.4,883.7,4535.5,395.6,180.3,147.7,151.9,114.9,308.8,130.5,181.4,425.3,108.5,78.5,130.7,88.4,318.2,96.9,591.3,378.9,945.0,889.1,1313.6,1283.0,866.7,1308.2,523.8,1279.9,1286.3,1221.4,1049.7,851.2
62.4651818_6.3478662,556.4,820.6,1130.7,722.3,933.4,359.2,830.0,2636.4,1455.1,837.2,829.5,876.0,847.6,849.3,845.9,876.0,855.0,793.8,855.5,862.8,816.7,848.8,885.5,883.4,859.5,827.6,820.2,605.1,838.0,509.5,241.9,848.1,857.6,880.7,986.2,844.1,683.9,903.6,477.9,584.7,762.7,287.4,822.4,811.5,796.3,821.3,811.8,802.7,833.6,804.3,848.2,610.6,145.0,80.8,73.5,0.0,181.9,1134.6,958.5,812.6,807.8,1072.9,1085.1,866.1,879.8,861.1,4548.2,436.5,193.0,160.4,164.6,155.8,349.7,143.2,194.1,466.2,141.8,107.6,149.5,101.1,330.9,74.3,568.7,356.3,985.9,930.0,1354.5,1323.9,907.6,1349.1,564.7,1320.8,1327.2,1262.3,1090.6,892.1
62.4629970_6.3630480,537.8,911.6,1221.7,813.3,1024.4,498.5,921.0,2647.8,1436.5,928.2,920.5,967.0,938.6,940.3,936.9,967.0,946.0,884.8,946.5,953.8,907.7,939.8,976.5,974.4,950.5,918.6,911.2,696.1,929.0,648.8,379.7,939.1,948.6,971.7,1077.2,935.1,774.9,994.6,459.3,675.7,853.7,410.0,913.4,902.5,887.3,912.3,902.8,893.7,924.6,895.3,939.2,701.6,205.3,167.9,160.6,202.9,0.0,1225.6,1049.5,903.6,898.8,1163.9,1176.1,957.1,970.8,952.1,4559.6,417.9,247.5,214.9,219.1,47.5,331.1,66.7,200.4,447.6,186.6,156.6,34.3,166.5,337.2,177.5,708.0,495.6,967.3,911.4,1335.9,1305.3,889.0,1330.5,546.1,1302.2,1308.6,1243.7,1072.0,873.5
