,FLISNESVEGEN 1,LERSTADVEGEN 545,LORKENESTORGET,SMEDGARDEN 1,Øvre Geilegrend 1,FOGD GREVES VEG 3,KONGENS GATE 6,Gamle Blindheimsveg 25,Spjelkavikvegen 61,SPJELKAVIKVEGEN 42,SKAREGATA 1,Rasmus Rønnebergs gate 21,BROGATA 1,KONGENS GATE 28A,SKANSEKAIA 4A,SORENSKRIVER BULLS GATE 7,PARKGATA 11B,KONGENS GATE 27,RASMUS RØNNEBERGS GATE 4,LARSGÅRDSVEGEN 19,SUNDGATA 8,RASMUS RØNNEBERGS GATE 6,NEDRE STRANDGATE 51,NØRVEGATA 23,NEDRE KLOKKERSUNDVEGEN 2,LERSTADVEGEN 291,APOTEKERGATA 1-3,APOTEKERGATA 5,SKARBØVIKGATA 25,OLE THORESENS GATE 16,JOHS. AARFLOTS GATE 4,KIPERVIKGATA 5,KIRKEGATA 1 A,SKARBØVIKGATA 26,APOTEKERGATA 8,KONGENS GATE 28,SJØMANNSVEGEN 14,NEDRE STRANDGATE 9,FJORDGATA 52,Depot
SKAREGATA 1,17018.5,11371.2,565.1,7289.0,9452.3,4522.9,269.2,14859.7,12382.2,12074.0,0.0,478.9,1998.2,288.3,304.5,251.3,592.6,325.5,486.4,5226.1,827.1,445.3,1172.1,3213.2,5648.0,8072.7,767.4,751.1,3094.7,3279.8,1712.8,412.8,834.5,3063.9,711.2,288.3,3666.2,644.4,1689.6,16996.3
Rasmus Rønnebergs gate 21,16976.9,11329.5,549.7,7247.3,9410.6,4481.2,360.4,14818.0,12340.5,12032.4,478.9,0.0,1982.8,787.1,803.4,644.8,550.9,824.4,471.0,5184.4,785.4,429.9,1156.7,3171.5,5606.3,8031.0,752.0,735.7,3079.3,3264.4,1697.4,371.1,819.1,3048.5,695.8,787.1,3624.6,629.0,1674.2,16954.7
BROGATA 1,18372.4,12725.0,1460.2,8642.8,10806.1,5876.7,2034.3,16213.5,13736.0,13427.9,1985.7,1961.1,0.0,2179.2,2195.5,2205.6,2224.8,2216.5,1493.6,6579.9,2276.9,1534.6,807.8,4567.0,7001.8,9426.5,1485.7,1469.4,1133.3,1318.4,379.6,2044.9,1297.4,1102.5,1429.5,2179.2,5020.1,1370.0,833.8,18350.2
KONGENS GATE 28A,17188.7,11541.3,820.7,7459.1,9622.4,4693.0,439.3,15029.8,12552.3,12244.2,255.6,649.0,2253.8,0.0,308.2,99.5,762.7,37.3,742.0,5396.2,997.2,700.9,1427.7,3383.3,5818.1,8242.8,1023.0,1006.7,3350.3,3535.4,1968.4,582.9,1090.1,3319.5,966.8,0.0,3836.4,900.0,1945.1,17166.5
SKANSEKAIA 4A,17372.3,11724.9,774.9,7642.7,9806.0,4876.6,573.7,15213.4,12735.9,12427.8,304.5,783.5,2208.0,234.0,0.0,208.6,897.1,271.3,696.2,5579.8,1131.6,655.1,1381.9,3566.9,6001.7,8426.4,977.2,960.9,3304.5,3489.6,1922.6,717.3,1044.3,3273.7,921.0,234.0,4020.0,854.2,1899.4,17350.1
SORENSKRIVER BULLS GATE 7,17184.4,11537.1,785.0,7454.9,9618.2,4688.8,435.0,15025.6,12548.0,12239.9,251.3,644.8,2218.1,148.2,208.6,0.0,758.5,185.5,706.3,5392.0,993.0,665.3,1392.1,3379.0,5813.9,8238.6,987.4,971.1,3314.7,3499.8,1932.8,578.6,1054.5,3283.8,931.1,148.2,3832.1,864.4,1909.5,17162.2
PARKGATA 11B,16573.8,10926.5,813.4,6844.3,9007.6,3592.6,474.1,14415.0,11937.4,11629.3,592.6,550.9,2246.5,880.8,897.1,758.5,0.0,918.1,734.7,4781.4,382.4,693.6,1420.4,2282.8,5203.3,7628.0,1015.7,999.4,3343.0,3528.1,1961.1,459.8,1082.8,3312.2,959.5,880.8,3221.5,892.7,1937.9,16551.6
KONGENS GATE 27,17151.4,11504.0,783.4,7421.8,9585.1,4655.7,402.0,14992.5,12515.0,12206.9,218.3,611.7,2216.5,210.4,270.9,62.2,725.4,0.0,704.7,5358.9,959.9,663.6,1390.4,3346.0,5780.8,8205.5,985.7,969.4,3313.0,3498.1,1931.1,545.6,1052.8,3282.2,929.5,210.4,3799.1,862.7,1907.8,17129.2
RASMUS RØNNEBERGS GATE 4,16973.5,11326.1,78.7,7243.9,9407.2,4477.8,540.7,14814.6,12337.1,12029.0,492.1,467.5,1511.8,685.6,701.9,712.0,731.2,722.9,0.0,5181.0,965.7,41.0,685.8,3168.1,5602.9,8027.6,281.0,264.7,2608.3,2793.5,1226.4,551.3,348.1,2577.5,224.8,685.6,3621.2,158.0,1203.2,16951.3
LARSGÅRDSVEGEN 19,12695.1,7047.8,4886.4,2764.6,5128.8,575.3,4797.2,10536.2,8058.7,7750.6,5076.0,4874.1,6319.5,5269.5,5285.8,5081.6,4572.7,5306.8,4902.4,0.0,4096.5,4912.3,5493.4,1950.4,1123.6,3749.3,5088.7,5072.4,7416.0,7601.1,6034.1,4563.6,5155.8,7385.2,5032.5,5269.5,3201.9,4965.7,6010.8,12672.9
SUNDGATA 8,16191.5,10544.1,841.8,6461.9,8625.2,3695.8,721.1,14032.6,11555.1,11247.0,839.5,797.9,2274.9,1224.9,1241.2,1005.4,476.2,1262.2,857.8,4399.0,0.0,867.7,1448.9,2386.1,4820.9,7245.6,1044.1,1027.8,3371.5,3556.6,1989.5,487.4,1111.3,3340.6,987.9,1224.9,2839.2,921.2,1966.3,16169.3
RASMUS RØNNEBERGS GATE 6,16978.2,11330.8,119.8,7248.6,9411.9,4482.6,499.6,14819.3,12341.8,12033.7,451.0,426.4,1552.9,644.5,660.8,671.0,690.1,681.8,41.1,5185.7,924.6,0.0,726.8,3172.8,5607.6,8032.3,322.1,305.8,2649.4,2834.5,1267.5,510.3,389.2,2618.6,265.9,644.5,3625.9,199.1,1244.2,16956.0
NEDRE STRANDGATE 51,17564.5,11917.2,652.3,7835.0,9998.2,5068.9,1226.5,15405.6,12928.1,12620.0,1177.8,1153.2,826.1,1371.3,1387.6,1397.8,1416.9,1408.6,685.8,5772.1,1469.1,726.8,0.0,3759.1,6193.9,8618.7,744.2,727.9,1922.6,2107.7,542.6,1237.1,555.8,1891.8,687.9,1371.3,4212.2,562.2,517.4,17542.3
NØRVEGATA 23,14832.0,9184.7,2923.7,4327.0,7265.7,1345.2,2834.6,12673.1,10195.6,9887.5,3113.3,2911.4,4356.8,3306.8,3323.1,3119.0,2610.1,3344.1,2939.7,1892.1,2133.9,2949.6,3530.8,0.0,2685.9,5886.2,3126.1,3109.7,5453.4,5638.5,4071.4,2601.0,3193.2,5422.5,3069.8,3306.8,1218.1,3003.1,4048.2,14809.8
NEDRE KLOKKERSUNDVEGEN 2,11581.8,7299.9,5575.0,1895.6,4194.9,1615.5,5485.9,9422.9,6945.4,8002.7,5764.7,5562.7,7008.1,5958.1,5974.4,5770.3,5261.4,5995.4,5591.0,1106.6,4785.2,5601.0,6182.1,3242.4,0.0,2552.5,5777.4,5761.1,8104.7,8289.8,6722.8,5252.3,5844.5,8073.8,5721.1,5958.1,3890.6,5654.4,6699.5,11559.6
LERSTADVEGEN 291,9259.9,4073.4,8245.4,2806.4,1873.1,4372.6,8156.3,7101.1,4623.6,4776.2,8435.0,8233.1,9678.5,8628.5,8644.8,8440.6,7931.7,8665.8,8261.4,4079.3,7455.5,8271.3,8852.4,5912.8,2551.5,0.0,8447.7,8431.4,10775.0,10960.1,9393.1,7922.6,8514.8,10744.2,8391.5,8628.5,6560.9,8324.7,9369.8,9237.7
APOTEKERGATA 1-3,17168.0,11520.6,255.8,7438.4,9601.7,4672.3,829.9,15009.1,12531.6,12223.5,781.3,756.7,1491.0,974.8,991.1,1001.2,1020.4,1012.1,289.2,5375.5,1072.6,330.3,744.2,3362.6,5797.4,8222.1,0.0,16.3,2587.5,2772.6,1182.3,840.6,250.0,2556.7,56.2,974.8,3815.7,247.2,1261.6,17145.8
