,Depot,Motorhuset AS,"Lobyvegen 2, 6789 Loen","Loenvegen 2, 6789 Loen","Kongshaug, 6350 Eidsbygda","Tafjord, 6214 Norddal",Alnes Fyr og opplevelsessenter,Anno,"Brattvåg, 6270 Brattvåg",Brattvåg Fjordhotell,AMFI MOA - BRO - NORD - SYD,Bunnpris Brattvåg,Bunnpris Bryggja,Bunnpris Eid,Bunnpris Hareid,"Ikornes, 6222 Ikornnes",Bunnpris Langevåg,Bunnpris Oldeide,Bunnpris Olden,Bunnpris Sjøholt,SKAREGATA 1,Bunnpris Spjelkavik,Bunnpris Stad,Bunnpris Straumgjerde,Bunnpris Stryn,NEDRE STRANDGATE 9,Bunnpris Ulsteinvik,Bunnpris Valderøy,Bunnpris Valldal,Bunnpris Vatne,Bunnpris Vedde,Bunnpris Volda,Bunnpris Ørsta,"Digernessundet, 6057 Ellingsøy","Langelandsvegen 47, 6010 Ålesund",KIPERVIKGATA 5,PARKGATA 11B,"Ålesund, 6008 Ålesund","Eidsgata 12, 6770 Nordfjordeid","Kongensgate 1, 6002 Ålesund","Dregesvegen 2, 6200 Stranda","Kirkegata 4, 6002 Ålesund",Egon Ålesund,"Skulevegen 1, 6770 Nordfjordeid",Gamle Blindheimsveg 25,Eurospar Hareid,LARSGÅRDSVEGEN 19,Eurospar Moa,Eurospar Sykkylven,Eurospar Valderøy,Eurospar Ørsta,Rasmus Rønnebergs gate 21,"Ålesund, 6002 Ålesund",Felleskjøpet Nordfjordeid,Felleskjøpet Volda,"Langevåg, 6030 Langevåg",SKARBØVIKGATA 26,"Ørskog, 6240 Ørskog","Nordfjordeid, 6770 Nordfjordeid","Nordfjordeid, 6770 Nordfjordeid","Løvenvoldgata 6, 6002 Ålesund",APOTEKERGATA 5,"Gate 1, 6718 Deknepollen","Kyaborga 4, 6150 Ørsta","Sjukehusveien 14, 6770 Nordfjordeid",Hornindal skisenter,"Apotekergata 5, 6004 Ålesund",APOTEKERGATA 1-3,KONGENS GATE 28A,Isehaug kafeteria,Godøya post i butikk,Joker Gursken,"Hellesylt, 6218 Hellesylt",Joker Hjelledalen,Joker Larsnes,Joker Loen,Joker Stadlandet,Joker Stordal,Joker Vatne,Vigra post i butikk,Joker Åheim,KONGENS GATE 11,Kiwi Meieribygget Ørsta,"Volda, 6100 Volda",SUNDGATA 8,Kiwi Skodje,Kiwi Volda,Kiwi Sykkylven,SKARBØVIKGATA 25,NØRVEGATA 23,SPJELKAVIKVEGEN 42,Kiwi Deknepollen,"Eggesbønes, 6008 Ålesund",NEDRE KLOKKERSUNDVEGEN 2,FLISNESVEGEN 1,"Kverve, 6008 Ålesund","Fiskarstrand, 6037 Eidsnes",Kiwi Stranda,Kiwi Stryn,Kiwi Ulsteinvik,"Valderøy, 6050 Valderøya",RASMUS RØNNEBERGS GATE 6,Kiwi Myrvåg,Kiwi Langevåg,NEDRE STRANDGATE 51,LERSTADVEGEN 545,Kiwi Vestnes,Kiwi Nordfjordeid,SMEDGARDEN 1,"Vallekrysset, 6013 Ålesund","Ørsta, 6150 Ørsta","Bryggja, 6720 Bryggja",Meny Fosnavåg,LERSTADVEGEN 291,"HIG, 6010 Ålesund",SKATEFLUKAIA 1B,"Selje, 6740 Selje",KEISER WILHELMS GATE 2,"Valldal, 6210 Valldal","Måløy, 6700 Måløy","Tonningsgata, 6783 Stryn","Innviksvegen, 6793 Innvik","Skateflukaia, 6002 Ålesund",SKANSEKAIA 4A,"Søvika, 6065 Ulsteinvik",Nordfjord hotell,Quality Hotel Ulstein,Quality Hotel Waterfront,KONGENS GATE 6,"Remmemsvik, 6264 Tennfjord","Storgata 16, 6002 Ålesund","Stranda, 6200 Stranda",SOLAVÅGSEIDET 76,Spar Ellingsøy,Spar Fiskåbygd,Spar Fosnavåg,Spar Hornindal,Spar Hovdebygda,Spar Langevåg,Spar Raudeberg,Spjelkavikvegen 61,Spar Straumane,Spar Svingen,Spar Søvik,Spar Tresfjord,Spar Ulsteinvik,Spar Valldal,Spar Vartdal,Spar Volda,Øvre Geilegrend 1,BLINDHEIM INDUSTRIVEG 2D,"Ålesund lufthavn, 6040 Vigra",St1 Ulsteinvik,St1 Ørskog,Storfjord Gastropub,"Strandafjellet, 6200 Stranda","Stryn, 6783 Stryn","Vigra, 6040 Vigra",Sunnmøre Folkehøgskule,KONGENS GATE 32A,"Gate 1 17, 6718 Deknepollen",Tik Café & Restaurant,"Brugata 4, 6390 Vestnes","Vestnes, 6390 Vestnes","Ålesund, 6002 Ålesund",KEISER WILHELMS GATE 39,Zuuma,"Borgundvegen 340, 6009 Ålesund"
Bunnpris Volda,55635.5,33345.6,68389.2,69105.8,94020.9,94670.0,88886.8,69783.2,94605.1,94598.7,58855.8,94686.6,91758.4,60827.1,41831.5,62276.7,62457.1,115023.5,74428.5,87513.3,69899.2,58577.7,93328.1,67777.7,57942.6,69788.9,32406.5,79218.5,105598.1,81634.6,59632.6,0.0,9816.1,73214.5,77997.8,69386.8,69395.9,67231.0,60238.8,69916.4,87385.4,69805.2,69496.4,60697.5,56711.5,41769.7,65543.5,58652.4,62712.0,80551.7,9254.4,69697.3,69958.4,60777.4,4404.9,62148.8,72208.4,87254.8,60610.6,60354.1,70132.4,69895.6,113520.7,9407.0,60426.7,38653.4,70038.1,69911.9,70092.7,58152.2,84377.5,40588.2,59019.5,86936.1,45985.4,68360.1,103026.1,106333.3,83765.2,87558.3,66666.9,69760.7,9470.3,1768.7,68919.7,79291.9,1593.3,62547.4,72239.2,67376.9,58577.8,110530.9,66041.5,64417.9,58870.4,67608.4,59673.9,87028.5,57936.4,32399.9,72385.1,69735.5,28982.5,61505.8,70316.6,59962.0,113145.0,59378.1,63193.6,58957.9,9566.1,95933.7,47719.2,62097.0,58742.0,69864.4,83986.6,69831.1,105954.0,113557.4,58117.2,103085.8,71049.3,70109.0,32725.6,60063.2,32358.0,70011.9,69620.4,125839.4,69784.3,87040.7,52187.3,84089.1,50205.5,46109.7,35467.3,6268.6,62156.7,119176.9,58411.4,30830.9,86485.9,100850.1,115051.2,33405.8,105971.7,29519.7,1478.6,60931.3,55997.4,83889.3,33031.7,87271.4,87018.3,87359.6,58126.8,85827.2,34261.9,70101.7,113528.3,9639.6,114418.5,114042.9,69274.6,69509.7,69792.6,70756.4
Bunnpris Ørsta,46514.2,33496.4,76409.1,77125.7,84899.6,102689.9,79765.6,60661.9,85483.8,85477.5,49734.5,85565.3,99778.3,68847.0,41982.3,53155.5,53335.8,123043.4,82448.4,78392.0,60777.9,49456.5,102329.1,58656.4,65962.5,60667.6,32557.3,70097.2,122880.5,72513.3,50511.4,9764.3,0.0,64093.2,68876.6,60265.5,60274.7,58109.8,68258.7,60795.2,95405.3,60683.9,60375.1,68717.4,47590.2,41920.5,56422.2,49531.1,53590.7,71430.4,619.8,60576.0,60837.1,68797.3,6637.3,53027.5,63087.1,78133.6,68630.5,68374.0,61011.1,60774.3,121540.6,687.2,68446.6,46673.3,60916.8,60790.6,60971.4,66172.1,75256.2,40739.0,67039.4,94956.0,46136.3,76380.0,112027.1,97212.0,74644.0,78437.0,75667.9,60639.4,630.3,10819.2,59798.5,70170.6,11320.2,53426.1,63117.9,58255.7,49456.6,118550.8,56920.2,55296.6,49749.1,58487.2,50552.7,95048.4,65956.3,32550.7,63263.8,60614.2,29133.3,52384.5,61195.3,50840.8,104023.7,67398.0,54072.3,49836.6,726.0,103953.6,47870.0,52975.8,49620.7,60743.2,92987.6,60709.9,123236.4,121577.3,66137.1,111105.7,61928.0,60987.7,32876.4,68083.1,32508.8,60890.7,60499.2,116718.2,60663.1,95060.6,43066.1,74967.9,59206.5,46260.5,43487.1,3829.3,53035.5,127196.8,49290.2,30981.8,94505.8,91728.9,105929.9,33556.6,123254.0,20398.4,10534.9,51810.1,46876.2,74768.1,33182.5,78150.1,95038.2,95379.5,66146.7,76705.9,34412.7,60980.5,121548.2,518.3,105297.2,104921.7,60153.4,60388.4,60671.4,61635.1
"Digernessundet, 6057 Ellingsøy",20455.3,46825.8,139860.3,140576.9,21437.9,64027.8,44119.3,25015.7,22022.1,22015.8,14868.1,22103.6,126102.8,132130.8,38079.9,23520.4,31521.4,148891.8,145899.6,15512.7,25131.7,15057.2,138285.0,30240.7,129413.7,25021.4,48252.0,34451.0,60001.2,9051.6,28696.9,73313.8,64184.2,0.0,23979.2,24619.3,24628.4,22463.5,131542.4,25148.9,56743.2,25037.6,24728.9,132001.1,18321.9,37940.0,20776.0,15048.4,22962.5,35784.2,64169.3,24929.7,25190.9,132081.0,70186.8,31213.0,27440.9,15254.2,131914.2,131657.7,25364.9,25128.1,147388.9,64236.7,131730.4,104964.1,25270.5,25144.4,25325.2,129623.3,39610.0,68652.5,79160.6,130033.1,74049.7,139831.2,147983.0,34332.7,11182.3,42790.8,111623.8,24993.2,63874.2,74368.7,24152.2,6708.9,74869.6,23170.4,27471.7,22609.4,14834.6,144399.2,21274.0,20059.4,20480.8,22840.9,28738.2,56386.3,129407.5,48245.4,27617.6,24968.0,57046.7,30570.1,25549.1,13767.3,41144.4,130681.7,19473.7,14651.5,63966.6,167237.3,75783.4,17738.6,15739.0,25096.9,128943.5,25063.6,60357.1,147425.7,129588.3,174556.8,26281.8,25341.5,48376.3,131366.9,49627.2,25244.4,24852.9,53256.5,25016.8,56398.6,21062.2,17628.2,95162.4,74174.0,106938.3,67378.7,31221.0,153045.2,14941.0,51040.1,54955.4,28267.2,43050.6,47173.7,60374.7,43804.9,74084.4,17124.5,18821.2,39121.8,49016.0,15270.8,56376.2,56228.5,129597.9,41059.7,46419.5,25334.2,147396.6,63781.1,42417.9,42042.3,24507.1,24742.2,25025.1,25988.9
"Langelandsvegen 47, 6010 Ålesund",25226.6,51597.1,144464.1,145180.8,35768.6,78235.7,22730.0,10969.2,36352.8,36346.5,19329.8,36434.3,130874.1,136902.1,42851.2,37728.3,36292.7,153663.1,150503.5,35821.2,11085.2,20530.2,143056.4,44448.5,134017.6,10974.9,53023.3,13061.7,80309.7,23382.3,33468.2,78085.1,68955.5,23972.6,0.0,10572.8,10581.9,11105.7,136313.8,11102.5,70951.1,10991.2,10682.4,136772.4,23093.2,42711.3,13459.7,19629.9,37170.4,14394.9,68940.6,10883.3,11144.4,136852.4,74958.1,35984.4,13394.4,35562.7,136685.5,136429.1,11318.4,11081.6,152160.3,69008.0,136501.7,119171.9,11224.1,11097.9,11278.7,134227.2,18220.7,73423.8,93368.5,150341.6,78821.0,144435.1,152754.3,54641.2,25512.9,21401.5,116395.1,10946.7,68645.5,79140.0,10105.7,25732.8,79641.0,37378.2,13425.2,11446.7,20307.6,149170.5,13957.7,13881.5,25252.1,11279.9,33509.5,70594.2,134011.4,53016.7,13571.1,10921.5,61818.1,35341.4,11502.6,19604.8,61452.9,135453.1,15522.6,19422.8,68737.9,172008.6,80554.7,16306.3,19368.4,11050.5,133714.9,11017.2,80665.6,152197.0,134192.2,179160.7,12235.3,11295.0,53147.6,136138.2,54398.5,11197.9,10806.4,67587.2,10970.4,70606.4,25833.5,6624.5,99933.7,78945.3,111542.2,72150.0,35992.4,157816.5,20615.7,55811.4,69163.3,42597.9,63359.1,51945.0,80683.2,48576.2,78855.7,17685.8,23592.5,17732.6,53787.3,35579.3,70584.0,70436.4,134201.8,19670.4,51190.9,11287.7,152167.9,68552.4,62726.4,62350.8,10460.6,10695.7,10978.6,11942.4
KIPERVIKGATA 5,16736.8,43107.2,135974.3,136690.9,46019.2,69745.8,21672.7,914.9,46603.4,46597.0,10839.9,46684.8,122384.3,128412.2,34361.3,29238.4,27802.8,145173.2,142013.6,39214.2,620.5,12040.3,134566.5,35958.7,125527.7,920.6,44533.5,12004.4,83702.6,33632.8,24978.4,69595.2,60465.6,24915.3,10783.7,0.0,667.5,2615.8,127823.9,1048.2,62461.2,791.2,378.0,128282.6,14603.4,34221.5,4969.8,11140.0,28680.5,13337.6,60450.7,578.8,1090.1,128362.5,66468.2,27494.5,3340.1,38955.7,128195.7,127939.2,1264.1,1027.3,143670.4,60518.1,128011.8,110682.1,1169.8,1043.6,908.7,125737.3,17163.4,64933.9,84878.6,153734.6,70331.1,135945.2,144264.4,58034.1,35763.5,20344.2,107905.3,746.8,60155.6,70650.1,581.3,30992.7,71151.1,28888.3,3370.9,2956.9,11817.7,140680.6,5467.8,5391.7,16762.2,2790.1,25019.6,62104.3,125521.5,44526.9,3516.8,721.5,53328.2,26851.5,1448.3,11114.9,64845.8,126963.2,7032.7,10933.0,60248.1,163518.8,72064.9,7816.4,10878.6,691.7,125225.0,1050.4,84058.5,143707.1,125702.3,170670.8,2181.0,925.0,44657.8,127648.3,45908.6,1143.7,502.0,77837.7,665.9,62116.6,17343.7,16875.1,91443.8,70455.4,103052.3,63660.2,27502.5,149326.6,12125.8,47321.5,60673.4,52848.4,66752.0,43455.1,84076.1,40086.4,70365.8,9196.0,15102.7,16675.2,45297.4,38972.3,62094.1,61946.5,125711.9,18613.1,42701.0,917.8,143678.0,60062.5,66119.3,65743.8,493.9,225.2,778.7,1888.1
PARKGATA 11B,16548.4,42918.8,135785.9,136502.5,45830.8,69557.4,21484.3,887.0,46415.0,46408.6,10651.5,46496.4,122195.9,128223.8,34172.9,29050.0,27614.4,144984.8,141825.2,39025.8,592.6,11851.9,134378.1,35770.3,125339.3,892.7,44345.1,11816.0,83514.2,33444.4,24790.0,69406.8,60277.2,24726.9,10595.3,459.8,0.0,2427.4,127635.5,1020.3,62272.8,763.3,350.1,128094.2,14415.0,34033.1,4781.4,10951.6,28492.1,13149.2,60262.3,550.9,1062.2,128174.1,66279.8,27306.1,3312.2,38767.3,128007.3,127750.8,1236.2,999.4,143482.0,60329.7,127823.4,110493.7,1141.9,1015.7,880.8,125548.9,16975.0,64745.5,84690.2,153546.2,70142.7,135756.8,144076.0,57845.7,35575.1,20155.8,107716.9,718.9,59967.2,70461.7,382.4,30804.3,70962.7,28700.0,3343.0,2282.8,11629.3,140492.2,5279.4,5203.3,16573.8,2601.7,24831.2,61915.9,125333.1,44338.5,3488.9,693.6,53139.8,26663.1,1420.4,10926.5,64657.4,126774.8,6844.3,10744.6,60059.7,163330.4,71876.5,7628.0,10690.2,663.8,125036.6,1029.2,83870.1,143518.7,125513.9,170482.4,2153.1,897.1,44469.4,127459.9,45720.2,1115.8,474.1,77649.3,638.0,61928.2,17155.3,16686.7,91255.4,70267.0,102863.9,63471.8,27314.1,149138.2,11937.4,47133.1,60485.0,52660.0,66563.6,43266.7,83887.7,39898.0,70177.4,9007.6,14914.3,16486.8,45109.0,38783.9,61905.7,61758.1,125523.5,18424.7,42512.6,889.9,143489.6,59874.1,65930.9,65555.4,476.9,522.4,750.8,1860.2
"Ålesund, 6008 Ålesund",14447.5,40818.0,133685.0,134401.7,43432.5,67456.6,21884.0,2780.4,44016.7,44010.4,8550.7,44098.2,120095.0,126123.0,32072.1,26949.2,25513.6,142884.0,139724.4,36924.9,2896.4,9751.1,132277.2,33669.4,123238.4,2786.1,42244.2,12215.7,81413.4,31046.2,22689.1,67306.0,58176.4,22626.1,10995.1,2384.0,2393.2,0.0,125534.6,2913.7,60172.0,2802.4,2493.6,125993.3,12314.1,31932.2,2680.6,8850.8,26391.3,13548.9,58161.5,2694.5,2955.6,126073.2,64179.0,25205.3,5205.6,36666.4,125906.4,125649.9,3129.6,2892.8,141381.2,58228.9,125722.6,108392.8,3035.3,2909.1,3089.9,123448.1,17374.7,62644.7,82589.4,151445.3,68041.9,133655.9,141975.2,55744.9,33176.8,20555.5,105616.0,2757.9,57866.4,68360.9,1916.9,28703.5,68861.9,26599.1,5236.4,438.6,9528.5,138391.4,2369.5,3102.4,14473.0,442.4,22730.4,59815.1,123232.2,42237.6,5382.3,2732.7,51038.9,24562.3,3313.8,8825.7,62556.6,124673.9,4743.5,8643.7,57958.8,161229.5,69775.6,5527.2,8589.3,2861.7,122935.8,2828.4,81769.3,141417.9,123413.1,168381.6,4046.5,3106.2,42368.5,125359.1,43619.4,3009.2,2617.7,75251.1,2781.6,59827.3,15054.4,17086.4,89154.6,68166.2,100763.1,61370.9,25213.2,147037.4,9836.6,45032.3,58384.2,50261.8,64462.8,41165.9,81786.9,37797.1,68076.6,6906.7,12813.4,16886.6,43008.2,36683.0,59804.9,59657.2,123422.7,18824.4,40411.7,3099.0,141388.8,57773.3,63830.1,63454.5,2271.8,2506.9,2789.9,3753.6
"Eidsgata 12, 6770 Nordfjordeid",93925.6,71635.7,56182.9,56899.5,132311.0,99222.7,127176.9,108073.3,132895.2,132888.8,97145.8,132976.6,32742.2,564.0,80121.5,119565.9,100747.2,56007.4,62222.2,125803.4,108189.3,96867.8,73493.8,112498.5,45736.3,108079.0,70696.6,117508.6,110150.8,119924.6,97922.7,39026.0,48106.2,111504.5,116287.9,107676.9,107686.0,105521.1,0.0,108206.5,91938.1,108095.2,107786.5,669.3,95001.6,80059.8,103833.6,96942.5,120001.1,118841.7,47544.5,107987.3,108248.5,749.2,42695.0,100438.8,110498.5,125544.9,582.4,325.9,108422.5,108185.7,54504.5,47697.0,398.5,43206.1,108328.1,108202.0,108382.7,45945.9,122667.5,78878.3,63572.2,74729.8,84275.5,56153.8,83191.8,111135.8,122055.3,125848.4,47388.4,108050.8,47760.4,40757.3,107209.8,117581.9,40581.9,119836.5,110529.3,105667.0,96867.9,51514.8,104331.6,102708.0,97160.4,105898.5,97964.0,91581.2,45730.1,70690.0,110675.1,108025.6,67272.6,99795.9,108606.7,98252.1,151435.0,1291.7,101483.6,97248.0,47856.1,36917.5,86009.3,100387.1,97032.1,108154.5,64152.3,108121.2,110506.7,54541.2,45910.9,49505.2,109339.4,108399.0,71015.7,434.6,70648.0,108302.0,107910.5,164129.5,108074.4,91593.4,90477.4,122379.2,66056.8,84399.8,35929.0,44558.7,100446.8,60160.7,96701.5,69121.0,91038.6,139140.2,153341.3,71695.9,110524.4,67809.7,40418.4,99221.4,94287.5,122179.4,71321.8,125561.5,91571.0,91912.3,45920.5,124117.3,72552.0,108391.8,54512.1,47929.7,152708.5,152333.0,107564.7,107799.8,108082.7,109046.5
"Kongensgate 1, 6002 Ålesund",17147.0,43517.5,136384.6,137101.2,46429.5,70156.1,22083.0,133.3,47013.7,47007.3,11250.2,47095.1,122794.6,128822.5,34771.6,29648.7,28213.1,145583.5,142423.9,39624.5,785.9,12450.6,134976.8,36369.0,125938.0,251.8,44943.8,12414.7,84112.9,34043.1,25388.7,70005.5,60875.9,25325.6,11194.0,845.1,1025.0,3026.1,128234.2,0.0,62871.5,691.8,674.9,128692.9,15013.7,34631.8,5380.1,11550.3,29090.8,13747.9,60861.0,761.3,280.0,128772.8,66878.5,27904.8,2561.2,39366.0,128606.0,128349.5,215.9,20.9,144080.7,60928.4,128422.1,111092.4,121.6,4.6,979.3,126147.6,17573.7,65344.2,85288.9,154144.9,70741.4,136355.5,144674.7,58444.4,36173.8,20754.5,108315.6,647.4,60565.9,71060.4,1077.1,31403.0,71561.4,29298.6,2592.1,3367.2,12228.0,141090.9,5878.1,5802.0,17172.5,3200.4,25429.9,62514.6,125931.8,44937.2,2737.9,334.8,53738.5,27261.8,748.7,11525.2,65256.1,127373.5,7443.0,11343.3,60658.4,163929.1,72475.2,8226.7,11288.9,751.1,125635.3,493.6,84468.8,144117.4,126112.6,171081.1,799.3,995.6,45068.0,128058.6,46318.9,444.0,834.5,78248.0,998.4,62526.9,17754.0,17285.4,91854.1,70865.7,103462.6,64070.5,27912.8,149736.9,12536.1,47731.8,61083.7,53258.7,67162.3,43865.4,84486.4,40496.7,70776.1,9606.3,15513.0,17085.5,45707.7,39382.5,62504.4,62356.8,126122.2,19023.4,43111.3,988.4,144088.3,60472.8,66529.6,66154.1,692.6,800.8,679.3,1188.5
"Dregesvegen 2, 6200 Stranda",52074.9,78445.3,89065.5,89782.2,77316.6,9232.0,81723.9,62620.3,77900.8,77894.5,51692.9,77982.3,124195.2,92507.0,69699.5,33557.2,63141.0,147460.3,95104.8,38805.4,62736.3,51414.8,164946.8,26489.8,78618.9,62626.0,79871.6,72055.6,18806.5,64930.3,60316.5,87403.8,95438.0,56510.2,70834.9,62223.9,62233.0,60068.1,91918.7,62753.6,0.0,62642.3,62333.5,92377.3,48223.2,69559.6,58380.6,51489.5,33992.4,73388.8,94836.1,62534.4,62795.5,92457.3,91796.8,62832.6,65045.5,39033.4,92290.4,92034.0,62969.5,62732.7,145957.5,94908.0,92106.6,54169.3,62875.2,62749.0,62929.8,78828.6,77214.6,127980.1,28365.9,107612.4,133377.4,89036.4,174644.8,19791.5,67060.9,80395.4,138841.4,62597.8,95092.2,86493.7,61756.8,58339.8,86318.3,33827.9,65076.3,60214.1,51414.9,142967.8,58878.6,57255.0,45998.8,60445.5,60357.8,628.7,78612.7,79865.0,65222.2,62572.6,116374.4,62189.7,63153.7,52799.1,61391.5,91814.9,56030.7,51795.0,94703.1,128370.5,135111.1,54934.1,51579.1,62701.5,155605.3,62668.3,19162.4,145994.2,78793.6,123762.1,63886.4,62946.1,79995.9,91743.1,81246.8,62849.0,62457.5,109135.2,62621.4,344.6,52681.8,73506.9,137597.4,133501.7,56143.6,93660.5,62840.6,151613.7,51248.5,82659.7,2442.5,84145.9,46782.7,78793.3,19180.0,64752.0,86615.1,53768.4,48690.7,76726.4,80635.5,38876.2,367.0,1170.9,78803.2,78664.3,78039.1,62938.8,145965.1,94888.7,62665.0,62289.4,62111.7,62346.8,62629.7,63593.5
"Kirkegata 4, 6002 Ålesund",16844.4,43214.8,136081.9,136798.5,46126.8,69853.4,21780.3,346.1,46711.0,46704.6,10947.5,46792.4,122491.9,128519.9,34468.9,29346.0,27910.4,145280.8,142121.2,39321.8,342.7,12147.9,134674.1,36066.3,125635.3,351.8,44641.1,12112.0,83810.2,33740.5,25086.0,69702.8,60573.3,25022.9,10891.4,402.0,581.8,2723.4,127931.5,479.4,62568.8,0.0,231.7,128390.2,14711.0,34329.1,5077.4,11247.6,28788.1,13445.2,60558.3,318.1,521.3,128470.1,66575.8,27602.1,2771.3,39063.3,128303.3,128046.8,695.3,458.5,143778.0,60625.7,128119.4,110789.7,601.0,474.8,536.2,125844.9,17271.0,65041.5,84986.2,153842.2,70438.7,136052.8,144372.1,58141.7,35871.1,20451.8,108012.9,204.2,60263.3,70757.7,774.4,31100.3,71258.7,28996.0,2802.1,3064.5,11925.4,140788.3,5575.4,5499.3,16869.8,2897.7,25127.3,62211.9,125629.1,44634.5,2948.0,152.7,53435.8,26959.1,879.5,11222.5,64953.4,127070.8,7140.3,11040.6,60355.7,163626.4,72172.5,7924.0,10986.2,308.0,125332.6,488.3,84166.1,143814.7,125809.9,170778.5,1612.2,552.5,44765.4,127755.9,46016.2,574.9,391.3,77945.3,555.2,62224.2,17451.3,16982.7,91551.5,70563.0,103160.0,63767.8,27610.1,149434.2,12233.5,47429.2,60781.0,52956.0,66859.6,43562.7,84183.8,40194.0,70473.5,9303.6,15210.3,16782.9,45405.0,39079.9,62201.8,62054.1,125819.5,18720.7,42808.6,545.3,143785.6,60170.1,66226.9,65851.4,390.0,464.6,236.1,1319.3
Egon Ålesund,16750.5,43121.0,135988.0,136704.7,46032.9,69759.6,21686.5,537.0,46617.1,46610.8,10853.7,46698.6,122398.0,128426.0,34375.1,29252.2,27816.6,145187.0,142027.4,39227.9,278.1,12054.1,134580.3,35972.4,125541.5,542.7,44547.2,12018.2,83716.4,33646.6,24992.1,69609.0,60479.4,24929.1,10797.5,170.2,350.1,2629.6,127837.7,670.2,62475.0,413.3,0.0,128296.3,14617.1,34235.2,4983.6,11153.8,28694.3,13351.4,60464.5,200.8,712.2,128376.3,66482.0,27508.3,2962.1,38969.5,128209.4,127953.0,886.1,649.4,143684.2,60531.9,128025.6,110695.8,791.8,665.7,566.3,125751.1,17177.2,64947.7,84892.4,153748.3,70344.9,135958.9,144278.2,58047.9,35777.3,20358.0,107919.0,368.8,60169.4,70663.9,584.5,31006.5,71164.9,28902.1,2993.0,2970.6,11831.5,140694.4,5481.6,5405.4,16776.0,2803.8,25033.4,62118.1,125535.2,44540.6,3138.8,343.6,53342.0,26865.3,1070.4,11128.7,64859.6,126976.9,7046.5,10946.7,60261.8,163532.5,72078.6,7830.2,10892.3,349.3,125238.8,679.1,84072.3,143720.9,125716.1,170684.6,1803.1,582.6,44671.5,127662.1,45922.4,765.7,159.6,77851.5,323.5,62130.3,17357.4,16888.8,91457.6,70469.2,103066.1,63673.9,27516.2,149340.4,12139.6,47335.3,60687.2,52862.2,66765.8,43468.9,84089.9,40100.1,70379.6,9209.7,15116.4,16689.0,45311.2,38986.0,62107.9,61960.3,125725.7,18626.9,42714.8,575.4,143691.8,60076.3,66133.1,65757.6,580.8,232.9,400.7,1510.1
"Skulevegen 1, 6770 Nordfjordeid",94439.4,72149.5,56602.5,57319.1,132824.8,99642.3,127690.8,108587.1,133409.0,133402.7,97659.7,133490.5,33450.8,903.6,80635.4,119985.5,101261.0,56715.9,62641.8,126317.2,108703.1,97381.7,74202.4,112918.1,46155.9,108592.8,71210.5,118022.4,110570.4,120438.5,98436.6,39539.9,48620.0,112018.4,116801.8,108190.7,108199.9,106035.0,708.6,108720.4,92357.7,108609.1,108300.4,0.0,95515.4,80573.7,104347.4,97456.3,120420.7,119355.6,48058.4,108501.2,108762.3,79.9,43208.9,100952.7,111012.3,126058.8,687.0,430.5,108936.3,108699.5,55213.1,48210.9,446.2,43625.8,108842.0,108715.8,108896.6,46365.6,123181.4,79392.2,63991.8,75149.4,84789.4,56573.4,83900.4,111555.4,122569.2,126362.2,48097.0,108564.6,48274.3,41271.2,107723.7,118095.8,41095.8,120256.2,111043.1,106180.9,97381.8,52223.4,104845.4,103221.8,97674.3,106412.4,98477.9,92000.8,46149.7,71203.9,111189.0,108539.4,67786.5,100309.7,109120.6,98766.0,151948.9,1605.9,101997.5,97761.8,48370.0,37626.1,86523.1,100901.0,97545.9,108668.4,64860.9,108635.1,110926.4,55249.8,46330.6,49924.8,109853.2,108912.9,71529.6,743.5,71161.9,108815.9,108424.4,164643.4,108588.3,92013.1,90991.3,122893.1,66765.4,84913.7,36348.6,45072.6,100960.7,60869.3,97215.4,69634.9,91458.2,139654.1,153855.1,72209.8,110944.0,68323.6,40932.3,99735.3,94801.4,122693.3,71835.6,126075.3,91990.7,92331.9,46340.2,124631.1,73065.9,108905.7,55220.7,48443.5,153222.4,152846.9,108078.6,108313.6,108596.6,109560.3
