Kundenr,Tur-id,Kundenavn,Hvorav PPL frys,Volum,Antall leveranser,PPL,Leveringsdag kunde,Leveringstid kunde fra,Leveringstid kunde til
8475,1601,Mf Sunnylvsfjord 100004,0.0,211.8,1,0.5,Mandag,10:40,12:40
12009,1051,Miljøstasjonen Hig,0.0,0.0,28,0.0,Mandag,09:35,11:35
1189,1251,Mmc First Process Kantine,0.5,814.37,1,1.5,Mandag,08:45,10:45
3981,1151,Nogva Motorfabrikk,0.5,778.1,1,1.5,Mandag,11:00,13:00
8032,1751,Nor F. Optimar,0.0,300.0,1,0.5,Mandag,07:50,09:50
8059,1052,Nor F. Røysegata,0.0,100.82,1,0.5,Mandag,12:20,14:20
8057,1051,Nor F. Spareb. 1 Smn,0.0,300.0,1,0.5,Mandag,08:10,10:10
7620,1051,Nor F. Stokke Kantine,0.5,490.28,1,1.0,Mandag,08:30,10:30
8073,1151,Nor F. Vard Electro,0.5,626.98,1,1.5,Mandag,08:30,10:30
7489,1151,Norbruk Vard Søvika,0.5,916.0,1,1.5,Mandag,11:20,13:20
2373,1702,Posten Restaurant Og Bar,0.5,1531.35,1,2.0,Mandag,17:00,19:00
7939,1042,Rabbevågen Barnehage,1.0,147.0,1,1.5,Mandag,11:00,13:00
5901,1701,Rem-servering,0.5,1358.92,1,2.0,Mandag,09:00,11:00
9193,1052,Renholdssenteret As,0.0,275.1,1,0.5,Mandag,11:15,13:15
8850,1052,Scandic Parken Hotell Mat,0.0,303.0,1,1.0,Mandag,12:35,14:35
7325,1702,Snorrebuda,0.5,4150.63,1,4.5,Mandag,17:55,19:55
13251,1351,Solsikka Barnehage,0.0,0.0,1,0.0,Mandag,10:30,12:30
9055,1107,Spar Eidsnes,0.0,4840.41,1,5.85,Mandag,17:15,19:15
4220,1751,Spar Ellingsøy,1.0,3939.54,2,5.4,Mandag,06:30,08:30
880,1351,Spar Fiskåbygd,0.0,3815.16,1,4.5,Mandag,10:05,12:05
1845,1252,Spar Fosnavåg,1.0,8156.31,1,8.62,Mandag,18:00,20:00
2170,1551,Spar Hornindal,1.0,4998.2,1,5.85,Mandag,08:10,10:10
5550,1501,Spar Hovdebygda,1.0,4717.4,1,5.85,Mandag,07:45,09:45
1090,1401,Spar Langevåg,0.5,1904.0,1,3.5,Mandag,17:05,19:05
4235,1451,Spar Raudeberg,0.0,3451.82,1,4.35,Mandag,11:10,13:10
8697,1051,Spar Spjelkavik,1.0,11720.800000000001,2,10.683,Mandag,09:30,11:30
6600,1701,Spar Straumane,0.0,3555.1,1,3.85,Mandag,09:05,11:05
6780,1601,Spar Svingen,0.5,9780.099999999999,2,8.5,Mandag,10:15,12:15
7010,1151,Spar Søvik,0.0,1375.0,1,1.5,Mandag,11:40,13:40
6320,1651,Spar Tresfjord,1.0,4859.82,1,5.35,Mandag,07:40,09:40
7765,1702,Spar Ulsteinvik,0.0,4388.54,1,5.56,Mandag,17:30,19:30
4245,1201,Spar Valldal,0.5,7738.05,1,7.35,Mandag,09:20,11:20
7450,1501,Spar Vartdal,0.5,6950.42,2,7.0,Mandag,07:10,09:10
5540,1501,Spar Volda,1.0,5771.33,1,7.35,Mandag,08:30,10:30
4225,1101,Spar Åse,0.5,14318.02,3,10.99,Mandag,08:30,10:30
8967,1104,Spjelkavik Veiservice,0.5,722.7,1,1.5,Mandag,16:50,18:50
5892,1751,Ssp Aksla Int A331 Aes,0.5,319.7,1,1.0,Mandag,09:15,11:15
5888,1751,Ssp O'learys A327 Aes,0.0,30.0,1,0.0,Mandag,09:15,11:15
5894,1751,Ssp Point Dom A328 Aes,1.0,1294.3,1,2.0,Mandag,09:15,11:15
5895,1751,Ssp Prod.kjøkken Y018 Aes,0.0,605.83,1,1.0,Mandag,09:15,11:15
1689,1052,St1 Vegsund 9377,0.0,417.7,1,0.5,Mandag,10:50,12:50
1697,1651,St1 Vestnes 9289,0.0,18.5,1,0.5,Mandag,08:55,10:55
