Kundenr,Tur-id,Kundenavn,Hvorav PPL frys,Volum,Antall leveranser,PPL,Leveringsdag kunde,Leveringstid kunde fra,Leveringstid kunde til
8570,2101,Hotel 1904 As,0.52,2543.77,1,2.52,Tirsdag,06:55,08:55
8408,2103,Hotel Brosundet Bryggen,0.0,0.0,1,1.0,Tirsdag,12:00,14:00
8559,2052,Hotel Noreg,1.0,1177.72,1,2.5,Tirsdag,12:05,14:05
899,2051,Iss 422542 Nordea Ålesund,0.0,490.0,1,0.5,Tirsdag,07:30,09:30
9332,2107,Iss 460367 Ncc Moavegen Kant.,0.5,756.16,1,1.5,Tirsdag,08:55,10:55
3580,2302,Joker Geiranger,1.0,2079.75,1,3.5,Tirsdag,10:25,12:25
2218,2352,Joker Gursken,0.0,959.4,1,1.0,Tirsdag,07:10,09:10
4070,2352,Joker Larsnes,1.0,3694.28,1,3.5,Tirsdag,07:55,09:55
3210,2151,Joker Lepsøy,0.5,2545.77,1,3.0,Tirsdag,09:40,11:40
1126,2551,Joker Loen,0.5,2838.99,1,3.0,Tirsdag,09:00,13:00
7497,2351,Joker Stadlandet,2.0,8421.44,1,10.0,Tirsdag,10:00,12:00
4205,2351,Joker Åheim,0.5,4573.56,1,4.5,Tirsdag,08:00,10:00
8579,2107,Jordbærpikene Moa,0.0,300.0,1,0.5,Tirsdag,10:55,12:55
7904,2107,Kafè Rematun,0.5,180.6,1,1.0,Tirsdag,09:00,11:00
1064,2054,Kauto Bar Og Restaurant,0.5,434.3,1,0.54,Tirsdag,16:20,18:20
9242,2041,Kirkens Bymisjon Avd. 37900,0.5,302.15,1,2.0,Tirsdag,08:05,10:05
355,2501,Kiwi 827 Ørsta,2.0,9366.99,1,9.0,Tirsdag,07:30,09:30
7642,2503,Kiwi 830 Skjellebreida Volda,1.0,6138.0,1,6.5,Tirsdag,19:35,21:35
9045,2058,Kiwi 832 Sundgata,0.0,8505.92,1,7.27,Tirsdag,19:30,21:30
2958,2151,Kiwi 841 Skodje,0.0,7480.98,1,7.0,Tirsdag,06:40,08:40
2936,2503,Kiwi 843 Volda,4.0,17101.98,1,11.81,Tirsdag,19:10,21:10
2935,2602,Kiwi 844 Sykkylven,1.0,6354.82,1,5.62,Tirsdag,16:10,18:10
9093,2103,Kiwi 849 Skarbøvik,0.0,12027.3,1,9.95,Tirsdag,10:45,12:45
2931,2056,Kiwi 901 Nørve,2.0,14518.72,1,10.93,Tirsdag,20:05,22:05
2932,2105,Kiwi 902 Spjelkavik,0.0,7299.85,1,7.499,Tirsdag,18:50,20:50
2914,2451,Kiwi 903 Måløy,1.0,7569.88,1,7.74,Tirsdag,11:50,13:50
2927,2451,Kiwi 906 Deknepollen,0.5,3098.39,1,3.833,Tirsdag,09:25,11:25
2908,2108,Kiwi 908 Klokkersund,2.0,9621.86,1,8.5,Tirsdag,17:50,19:50
2939,2106,Kiwi 909 Flisnes,3.0,11721.44,1,10.333,Tirsdag,15:20,17:20
2942,2751,Kiwi 910 Kverve,0.0,9224.66,1,7.99,Tirsdag,16:25,18:25
2946,2404,Kiwi 911 Fiskarstrand,2.0,4548.8,1,4.5,Tirsdag,19:10,21:10
2948,2602,Kiwi 912 Stranda,2.0,9494.55,1,7.66,Tirsdag,17:35,19:35
2950,2551,Kiwi 913 Stryn,1.5,11059.6,1,9.233,Tirsdag,07:55,09:55
2928,2702,Kiwi 914 Ulsteinvik,2.5,18183.71,1,15.67,Tirsdag,16:40,18:40
2953,2751,Kiwi 915 Valderøy,1.0,7708.46,1,6.5,Tirsdag,16:50,18:50
2955,2057,Kiwi 916 Kremmergaarden,0.0,8595.47,1,9.333,Tirsdag,18:35,20:35
2957,2352,Kiwi 917 Myrvåg,1.0,9752.68,1,8.0,Tirsdag,06:30,08:30
2959,2403,Kiwi 918 Langevåg,2.0,10599.4,1,9.943,Tirsdag,16:20,18:20
2956,2057,Kiwi 919 Nedre Strandgate,0.0,8589.82,1,7.85,Tirsdag,19:05,21:05
2947,2106,Kiwi 920 Breivika,2.5,12903.54,1,10.833,Tirsdag,16:00,18:00
2930,2651,Kiwi 921 Vestnes,0.0,13027.97,1,7.89,Tirsdag,09:45,11:45
2963,2451,Kiwi 922 Nordfjordeid,2.0,12518.05,1,11.126,Tirsdag,07:55,09:55
2940,2053,Kiwi 923 Hatlane,0.0,8119.76,1,7.73,Tirsdag,16:05,18:05
2961,2651,Kiwi 924 Vallekrysset,1.0,9773.04,1,9.666,Tirsdag,06:50,08:50
2937,2501,Kiwi 925 Meieribygget Ørsta,1.0,14644.25,1,11.833,Tirsdag,07:50,09:50
9321,2054,Koiwa Ramen,0.0,497.1,1,0.5,Tirsdag,16:10,18:10
13258,2352,Larsnes Mek Verksted As,0.5,591.66,1,1.0,Tirsdag,08:10,10:10
7916,2041,Lerstad Barnehage,0.5,319.0,1,1.0,Tirsdag,07:20,09:20
8694,2103,Lets Eat Deli,0.0,29.0,1,0.5,Tirsdag,12:30,14:30
8649,2104,Long Cheng Restaurant As,0.0,300.0,1,0.5,Tirsdag,13:15,15:15
7812,2151,Longva Barnehage,0.5,56.4,1,0.5,Tirsdag,10:50,12:50
3440,2151,Longva Servicesenter,0.5,520.0,1,1.0,Tirsdag,10:40,12:40
9308,2107,Lucky Bowl-avd 26 Ålesund,0.02,812.4,1,0.52,Tirsdag,12:20,14:20
3425,2601,Løseths O.a.j. Eftf. As,0.5,401.33,1,1.0,Tirsdag,11:25,13:25
9253,2041,Løvenvold Theater As,0.0,94.5,1,0.5,Tirsdag,08:15,10:15
9013,2102,Meet & Eat,0.5,851.3,1,1.5,Tirsdag,06:40,08:40
8620,2108,Meny Lerstad,0.0,8694.7,1,9.0,Tirsdag,18:25,20:25
8018,2352,Mf Foldøy,0.5,163.9,1,1.0,Tirsdag,08:00,10:00
9510,2302,Mf Norddalsfjord,0.0,331.6,1,0.5,Tirsdag,07:00,09:00
8065,2503,Mf Ørland,0.0,336.9,1,0.5,Tirsdag,18:45,20:45
12009,2042,Miljøstasjonen Hig,0.0,0.0,32,0.0,Tirsdag,13:00,15:00
8349,2052,Milk Bar,0.0,162.01,1,0.5,Tirsdag,12:40,14:40
2371,2701,Millennium Kafe,0.5,526.4,1,1.0,Tirsdag,07:25,09:25
8660,2107,Moa Let's Eat,0.5,1166.0,1,2.5,Tirsdag,09:45,11:45
8785,2052,Molo Brew,0.5,706.25,1,1.0,Tirsdag,11:30,13:30
3891,2601,Møre Trafo Kantine,0.5,517.1,1,1.0,Tirsdag,08:25,10:25
9272,2051,Namaste Ålesund,0.5,424.82,1,1.0,Tirsdag,08:40,10:40
1151,2701,Napoli-pizzeria Ulst.vik,0.5,1073.0,1,1.5,Tirsdag,10:00,12:00
9141,2052,Nonna Lina,0.5,2314.08,1,2.5,Tirsdag,12:20,14:20
8034,2151,Nor F. Nit Longva,0.5,523.92,1,1.0,Tirsdag,10:30,12:30
8071,2104,Nor F. Postvegen 11,0.5,420.77,1,1.0,Tirsdag,11:45,13:45
8070,2104,Nor F. Postvegen 17,0.5,383.3,1,1.0,Tirsdag,11:35,13:35
8074,2104,Nor F. Postvegen15,0.0,58.4,1,0.5,Tirsdag,11:40,13:40
6442,2302,Nærbutikken Norddal,1.0,2032.01,1,2.5,Tirsdag,07:40,09:40
7672,2352,Nærbutikken Rovde,0.5,2356.87,1,2.0,Tirsdag,10:50,12:50
5129,2501,Osdals Catering,0.5,802.55,1,1.5,Tirsdag,10:50,12:50
13046,2107,Peppes Pizza Amfi Moa Avd.319,1.0,389.6,1,1.5,Tirsdag,09:15,11:15
7591,2042,Pharma Marine,0.5,471.2,1,1.0,Tirsdag,11:55,13:55
13124,2701,Quality Hotel Ulstein,0.0,107.9,1,0.5,Tirsdag,08:15,10:15
8882,2051,Quality Hotel Waterfront,0.5,2561.58,1,2.5,Tirsdag,08:00,10:00
8942,2052,Quality Hotel Ålesund,0.5,1673.48,1,3.0,Tirsdag,11:55,13:55
