Kundenr,Tur-id,Kundenavn,Hvorav PPL frys,Volum,Antall leveranser,PPL,Leveringsdag kunde,Leveringstid kunde fra,Leveringstid kunde til
9302,5052,Hole Kjøtt As,0.0,300.0,1,0.5,Fredag,13:15,15:15
2618,5452,Hornindal Skisenter,0.5,415.2,1,1.0,Fredag,06:51,08:51
8570,5051,Hotel 1904 As,0.5,850.33,1,1.5,Fredag,07:50,09:50
8408,5052,Hotel Brosundet Bryggen,0.0,502.0,1,1.0,Fredag,11:45,13:45
9319,5054,Indian Masala House,0.0,151.8,1,0.5,Fredag,16:10,18:10
2819,5551,Isehaug Kafeteria,0.0,421.68,1,0.5,Fredag,10:10,12:10
9332,5101,Iss 460367 Ncc Moavegen Kant.,1.0,1170.55,1,2.0,Fredag,07:30,09:30
3615,5751,Joker Godøy,1.0,3262.8,1,3.5,Fredag,09:40,11:40
2218,5701,Joker Gursken,0.0,890.6,1,1.0,Fredag,09:35,11:35
5280,5601,Joker Hellesylt 708000993239,0.5,1807.9,1,3.0,Fredag,11:25,13:25
643,5551,Joker Hjelledalen,1.0,2567.22,1,3.0,Fredag,12:05,14:05
4070,5701,Joker Larsnes,0.0,1227.37,1,1.0,Fredag,10:00,12:00
1126,5551,Joker Loen,1.0,2199.93,1,3.0,Fredag,09:00,11:00
7497,5351,Joker Stadlandet,1.0,5920.22,1,6.0,Fredag,10:50,12:50
7755,5201,Joker Stordal,1.0,4562.96,1,4.5,Fredag,07:35,09:35
7018,5151,Joker Vatne,0.5,1386.02,1,2.0,Fredag,09:00,11:00
1715,5751,Joker Vikane,0.5,2853.59,1,3.5,Fredag,08:00,10:00
4205,5351,Joker Åheim,1.5,6206.91,1,6.0,Fredag,08:30,10:30
8579,5101,Jordbærpikene Moa,0.0,300.0,1,0.5,Fredag,08:10,10:10
1064,5052,Kauto Bar Og Restaurant,0.0,38.2,1,0.5,Fredag,11:10,13:10
355,5501,Kiwi 827 Ørsta,0.5,6977.29,1,6.006,Fredag,07:30,09:30
7642,5502,Kiwi 830 Skjellebreida Volda,0.5,3919.14,1,4.35,Fredag,16:35,18:35
9045,5104,Kiwi 832 Sundgata,0.0,5563.23,1,5.683,Fredag,16:00,18:00
2958,5151,Kiwi 841 Skodje,0.0,6913.88,1,8.083,Fredag,06:40,08:40
2936,5502,Kiwi 843 Volda,0.0,8598.5,1,7.383,Fredag,16:50,18:50
2935,5601,Kiwi 844 Sykkylven,0.0,10510.62,1,9.393,Fredag,07:10,09:10
9093,5104,Kiwi 849 Skarbøvik,0.0,7165.27,1,7.033,Fredag,16:35,18:35
2931,5752,Kiwi 901 Nørve,0.0,12180.09,1,11.58,Fredag,16:45,18:45
2932,5402,Kiwi 902 Spjelkavik,0.0,7956.22,1,5.886,Fredag,17:40,19:40
2914,5451,Kiwi 903 Måløy,1.0,6476.25,1,7.2,Fredag,10:00,12:00
2920,5702,Kiwi 905 Eggesbønes,0.0,5214.79,1,5.7,Fredag,16:45,18:45
2927,5451,Kiwi 906 Deknepollen,0.0,49474.1,1,35.2,Fredag,08:20,10:20
2908,5752,Kiwi 908 Klokkersund,0.0,8098.64,1,8.38,Fredag,16:25,18:25
2939,5402,Kiwi 909 Flisnes,0.0,8048.72,1,7.566,Fredag,17:00,19:00
2942,5751,Kiwi 910 Kverve,0.0,6230.05,1,6.35,Fredag,10:40,12:40
2946,5401,Kiwi 911 Fiskarstrand,0.0,2049.99,1,2.7,Fredag,11:15,13:15
2948,5601,Kiwi 912 Stranda,0.0,8041.67,2,8.1,Fredag,09:50,11:50
2950,5551,Kiwi 913 Stryn,0.0,10064.34,1,9.833,Fredag,07:30,09:30
2928,5702,Kiwi 914 Ulsteinvik,0.0,4987.530000000001,2,6.805999999999999,Fredag,15:25,17:25
2953,5751,Kiwi 915 Valderøy,0.0,7584.67,1,8.42,Fredag,10:20,12:20
2955,5104,Kiwi 916 Kremmergaarden,0.5,5674.69,1,5.85,Fredag,16:15,18:15
2957,5701,Kiwi 917 Myrvåg,0.0,8927.29,1,9.216,Fredag,09:15,11:15
2959,5402,Kiwi 918 Langevåg,0.0,3532.55,1,4.2,Fredag,15:35,17:35
2956,5104,Kiwi 919 Nedre Strandgate,0.5,7314.24,1,7.5,Fredag,17:05,19:05
2947,5752,Kiwi 920 Breivika,0.0,7826.97,1,6.43,Fredag,15:30,17:30
2930,5651,Kiwi 921 Vestnes,0.0,8164.98,1,6.64,Fredag,09:25,11:25
2963,5452,Kiwi 922 Nordfjordeid,0.0,10869.84,1,10.333,Fredag,07:45,09:45
2940,5752,Kiwi 923 Hatlane,0.0,5818.21,1,5.7,Fredag,16:00,18:00
2961,5651,Kiwi 924 Vallekrysset,0.0,4953.63,1,5.2,Fredag,06:40,08:40
2937,5501,Kiwi 925 Meieribygget Ørsta,0.0,5503.89,1,5.333,Fredag,07:10,09:10
6344,5451,Kysten Rundt Bryggja,2.0,1882.33,1,2.5,Fredag,07:46,09:46
1056,5452,Magnifikk,0.5,62.8,1,0.5,Fredag,08:50,10:50
9013,5101,Meet & Eat,0.5,838.8,1,1.0,Fredag,07:10,09:10
3735,5702,Meny Fosnavåg,0.0,1508.62,1,1.5,Fredag,17:20,19:20
8620,5752,Meny Lerstad,0.5,7194.79,1,7.12,Fredag,18:00,20:00
12009,5051,Miljøstasjonen Hig,0.0,0.0,21,0.0,Fredag,09:50,11:50
8349,5052,Milk Bar,0.0,61.89,1,0.5,Fredag,11:25,13:25
2371,5701,Millennium Kafe,0.5,623.2,1,1.0,Fredag,07:30,09:30
3658,5351,Mix Selje,0.5,960.51,1,1.0,Fredag,11:45,13:45
8785,5051,Molo Brew,0.5,766.22,1,1.0,Fredag,08:50,10:50
3770,5201,Muritunet As,0.0,1300.0,1,1.0,Fredag,08:35,10:35
3623,5451,Måløy Spiskammers,0.0,301.0,1,1.0,Fredag,09:55,11:55
13306,5551,Napoli Pizzeria Stryn,0.5,1578.5,1,2.0,Fredag,10:35,12:35
6644,5201,Nilsgardstunet,0.0,300.0,1,0.5,Fredag,07:25,09:25
9258,5051,Nor F. Color Line,0.0,92.3,1,0.5,Fredag,09:40,11:40
8075,5052,Nor F. Skansekaia 4,0.5,618.0,1,1.5,Fredag,11:15,13:15
