customer_id,customer_name,address,postal_code,latitude,longitude,tw_start,tw_end,ppl,ppl_freeze,volume_m3,weight_kg,vehicle_type,tour_id,service_time_min
7922,Aspøy Omsorgssenter 2024,JOHS. AARFLOTS GATE 4,6005.0,62.4708459,6.1312305,11:35,13:35,1.5,0.5,1002.5,0.0,1,2103,4.4
3756,Motorhuset,Motorhuset AS,,62.336197,5.8773128,18:00,20:00,2.0,1.0,1597.3,0.0,1,2602,9.1
7255,0431 H Union Geiranger Mat,Geiranger,6216.0,62.0969064350644,7.210824782504066,11:31,13:31,1.5,1.0,690.4,0.0,1,2302,20.0
7261,0431 H.union Geiranger Bar 2,Geiranger,6216.0,62.0969064350644,7.210824782504066,11:33,13:33,0.62,0.0,52.78,0.0,1,2302,20.0
213,1996 Hotel Alexandra,Lobyvegen 2,6789.0,61.8733073,6.8476827,08:55,10:55,1.5,0.0,1600.0,0.0,1,2551,7.4
6437,2752 Storfjord Hotel,Storfjordvegen 550,6260.0,62.4695645,6.6247074,08:00,16:00,2.0,0.0,1957.3,0.0,1,2042,11.5
2646,4274 Hoven Restaurant,Loenvegen 2,6789.0,61.87501,6.83945,08:45,10:45,0.5,0.0,0.0,0.0,1,2551,5.3
9338,460389kant.veidekke Kongshaug.,Kongshaug,6350.0,62.484208,6.389984,08:40,10:40,1.0,0.5,0.0,0.0,1,2107,20.0
9142,Anno,Anno,,62.4714804,6.1512358,07:50,09:50,1.0,0.5,452.8,0.0,1,2051,9.7
13097,Brasserie Posten Geiranger,Brasserie Posten,,62.10246354401172,7.20559217086633,10:45,12:45,1.0,0.5,307.75,0.0,1,2302,7.6
785,Brattvåg Bowling As,Brattvåg,6270.0,62.5998184,6.4459517,08:35,10:35,1.0,0.5,834.22,0.0,1,2151,9.4
793,Brattvåg Fjordhotell,Brattvåg Fjordhotell,,62.5968924,6.4478983,08:15,10:15,1.52,0.52,1107.94,0.0,1,2151,7.8
7394,Braud Moa,Moa,6010.0,62.465082,6.35152,10:25,12:25,1.5,0.5,461.38,0.0,1,2107,8.6
7392,Braud Ulsteinvik,Braud og Bollur,,62.34056616662475,5.855065499717559,08:10,10:10,1.5,0.5,809.79,0.0,1,2701,7.6
