algorithm,instance,run,best_cost,iteration_found_best
DRLH,C2_6_1.TXT,10,8713.28,999
DRLH,C2_6_10.TXT,1,10070.53,999
DRLH,C2_6_10.TXT,2,10528.00,999
DRLH,C2_6_10.TXT,3,10383.31,992
DRLH,C2_6_10.TXT,4,10229.57,1000
DRLH,C2_6_10.TXT,5,10475.58,999
DRLH,C2_6_10.TXT,6,10743.05,983
DRLH,C2_6_10.TXT,7,10071.28,994
DRLH,C2_6_10.TXT,8,10406.44,998
DRLH,C2_6_10.TXT,9,10341.96,928
DRLH,C2_6_10.TXT,10,10619.51,990
DRLH,C2_6_2.TXT,1,10417.75,907
DRLH,C2_6_2.TXT,2,9818.67,999
DRLH,C2_6_2.TXT,3,10167.48,999
DRLH,C2_6_2.TXT,4,9726.71,997
DRLH,C2_6_2.TXT,5,9989.51,1000
DRLH,C2_6_2.TXT,6,9902.06,996
DRLH,C2_6_2.TXT,7,9520.54,941
DRLH,C2_6_2.TXT,8,10270.90,998
DRLH,C2_6_2.TXT,9,10720.87,996
DRLH,C2_6_2.TXT,10,9602.62,1000
DRLH,C2_6_3.TXT,1,11090.37,974
DRLH,C2_6_3.TXT,2,11337.89,998
DRLH,C2_6_3.TXT,3,10726.38,1000
DRLH,C2_6_3.TXT,4,11178.47,969
DRLH,C2_6_3.TXT,5,11226.41,995
DRLH,C2_6_3.TXT,6,11819.62,1000
DRLH,C2_6_3.TXT,7,10979.48,996
DRLH,C2_6_3.TXT,8,11063.58,1000
DRLH,C2_6_3.TXT,9,11123.63,997
DRLH,C2_6_3.TXT,10,10858.09,988
DRLH,C2_6_4.TXT,1,11037.70,997
DRLH,C2_6_4.TXT,2,10848.94,1000
DRLH,C2_6_4.TXT,3,10531.61,999
DRLH,C2_6_4.TXT,4,10502.05,999
DRLH,C2_6_4.TXT,5,11149.16,1000
DRLH,C2_6_4.TXT,6,10954.43,1000
DRLH,C2_6_4.TXT,7,10963.93,1000
DRLH,C2_6_4.TXT,8,11143.80,991
DRLH,C2_6_4.TXT,9,10619.27,999
DRLH,C2_6_4.TXT,10,11152.41,1000
DRLH,C2_6_5.TXT,1,12742.51,998
DRLH,C2_6_5.TXT,2,9156.12,999
DRLH,C2_6_5.TXT,3,9433.93,994
DRLH,C2_6_5.TXT,4,9310.33,1000
DRLH,C2_6_5.TXT,5,9553.68,999
DRLH,C2_6_5.TXT,6,9794.60,1000
DRLH,C2_6_5.TXT,7,9414.72,989
