algorithm,instance,run,best_cost,iteration_found_best
URS,C2_6_10.TXT,6,8006.25,4996
URS,C2_6_10.TXT,7,7983.40,4999
URS,C2_6_10.TXT,8,8090.38,4998
URS,C2_6_10.TXT,9,8175.10,4995
URS,C2_6_10.TXT,10,7850.47,4999
URS,C2_6_2.TXT,1,8187.30,4992
URS,C2_6_2.TXT,2,8310.56,4998
URS,C2_6_2.TXT,3,8393.70,4900
URS,C2_6_2.TXT,4,8191.86,4997
URS,C2_6_2.TXT,5,8318.40,4982
URS,C2_6_2.TXT,6,8077.86,4928
URS,C2_6_2.TXT,7,8353.89,4998
URS,C2_6_2.TXT,8,8105.20,4995
URS,C2_6_2.TXT,9,8079.97,4997
URS,C2_6_2.TXT,10,8195.63,4997
URS,C2_6_3.TXT,1,8248.27,4998
URS,C2_6_3.TXT,2,7866.49,4997
URS,C2_6_3.TXT,3,7973.37,4989
URS,C2_6_3.TXT,4,7961.07,4995
URS,C2_6_3.TXT,5,8167.73,4993
URS,C2_6_3.TXT,6,8079.34,4997
URS,C2_6_3.TXT,7,7935.85,4990
URS,C2_6_3.TXT,8,7895.66,4999
URS,C2_6_3.TXT,9,8239.35,4986
URS,C2_6_3.TXT,10,7939.48,4997
URS,C2_6_4.TXT,1,7783.75,4988
URS,C2_6_4.TXT,2,7902.19,4999
URS,C2_6_4.TXT,3,7747.23,4993
URS,C2_6_4.TXT,4,7616.46,4999
URS,C2_6_4.TXT,5,7562.27,4995
URS,C2_6_4.TXT,6,7885.83,4986
URS,C2_6_4.TXT,7,7710.07,4989
URS,C2_6_4.TXT,8,7780.60,4998
URS,C2_6_4.TXT,9,7790.83,4992
URS,C2_6_4.TXT,10,7673.90,4998
URS,C2_6_5.TXT,1,8257.00,4999
URS,C2_6_5.TXT,2,8548.40,4998
URS,C2_6_5.TXT,3,8478.04,4998
URS,C2_6_5.TXT,4,8168.53,4995
URS,C2_6_5.TXT,5,8378.01,4992
URS,C2_6_5.TXT,6,8689.31,4989
URS,C2_6_5.TXT,7,8417.88,4977
URS,C2_6_5.TXT,8,8210.82,4999
URS,C2_6_5.TXT,9,8327.67,4997
URS,C2_6_5.TXT,10,8278.77,4926
URS,C2_6_6.TXT,1,8783.02,4981
URS,C2_6_6.TXT,2,8485.10,4996
URS,C2_6_6.TXT,3,8392.35,4991
URS,C2_6_6.TXT,4,8522.20,4996
URS,C2_6_6.TXT,5,8094.90,4991
URS,C2_6_6.TXT,6,8436.76,4996
URS,C2_6_6.TXT,7,8213.64,4980
URS,C2_6_6.TXT,8,8492.96,4988
URS,C2_6_6.TXT,9,8319.32,4993
URS,C2_6_6.TXT,10,8451.17,4992
URS,C2_6_7.TXT,1,8223.66,4999
URS,C2_6_7.TXT,2,8567.57,4998
URS,C2_6_7.TXT,3,8346.48,4963
URS,C2_6_7.TXT,4,8560.01,4980
URS,C2_6_7.TXT,5,8475.16,4997
URS,C2_6_7.TXT,6,8433.84,4998
URS,C2_6_7.TXT,7,8479.28,4991
URS,C2_6_7.TXT,8,8461.20,4996
URS,C2_6_7.TXT,9,8244.74,4999
URS,C2_6_7.TXT,10,8407.34,4996
URS,C2_6_8.TXT,1,8353.66,4989
URS,C2_6_8.TXT,2,8228.18,4998
URS,C2_6_8.TXT,3,8122.76,4998
URS,C2_6_8.TXT,4,8269.84,4998
URS,C2_6_8.TXT,5,8225.80,4998
URS,C2_6_8.TXT,6,8212.64,4985
URS,C2_6_8.TXT,7,8294.21,4988
URS,C2_6_8.TXT,8,8130.07,4997
URS,C2_6_8.TXT,9,8320.25,4993
URS,C2_6_8.TXT,10,8230.34,4997
URS,C2_6_9.TXT,1,8270.00,4998
URS,C2_6_9.TXT,2,8235.12,4989
URS,C2_6_9.TXT,3,8488.79,4994
URS,C2_6_9.TXT,4,8310.46,4993
URS,C2_6_9.TXT,5,8266.08,4995
URS,C2_6_9.TXT,6,8182.28,4999
URS,C2_6_9.TXT,7,8430.85,4999
URS,C2_6_9.TXT,8,8213.66,4999
URS,C2_6_9.TXT,9,8432.42,4998
URS,C2_6_9.TXT,10,8003.04,4999
URS,R1_6_1.TXT,1,23710.18,4995
URS,R1_6_1.TXT,2,23682.93,4992
URS,R1_6_1.TXT,3,23948.78,4964
URS,R1_6_1.TXT,4,23986.19,4974
URS,R1_6_1.TXT,5,23764.95,4994
URS,R1_6_1.TXT,6,23641.57,4998
URS,R1_6_1.TXT,7,23719.89,4995
URS,R1_6_1.TXT,8,23650.88,4995
URS,R1_6_1.TXT,9,23678.31,4918
URS,R1_6_1.TXT,10,23631.34,4995
URS,R1_6_10.TXT,1,20452.23,4994
URS,R1_6_10.TXT,2,20400.02,4988
URS,R1_6_10.TXT,3,20275.12,4997
URS,R1_6_10.TXT,4,20268.72,4996
URS,R1_6_10.TXT,5,19990.23,4993
URS,R1_6_10.TXT,6,20043.29,4998
URS,R1_6_10.TXT,7,19914.29,4998
URS,R1_6_10.TXT,8,20564.94,4996
URS,R1_6_10.TXT,9,19940.27,4993
URS,R1_6_10.TXT,10,19926.05,4995
URS,R1_6_2.TXT,1,20922.73,4997
URS,R1_6_2.TXT,2,21523.24,4999
URS,R1_6_2.TXT,3,21028.03,4999
URS,R1_6_2.TXT,4,20721.19,4980
URS,R1_6_2.TXT,5,21046.58,4999
URS,R1_6_2.TXT,6,21158.28,4989
URS,R1_6_2.TXT,7,21241.54,4999
URS,R1_6_2.TXT,8,20674.22,4996
URS,R1_6_2.TXT,9,21045.02,4999
URS,R1_6_2.TXT,10,21041.06,4998
URS,R1_6_3.TXT,1,19482.98,4997
URS,R1_6_3.TXT,2,19698.82,4995
URS,R1_6_3.TXT,3,20158.10,4994
URS,R1_6_3.TXT,4,19611.76,4990
URS,R1_6_3.TXT,5,19541.65,4997
URS,R1_6_3.TXT,6,20354.77,4996
URS,R1_6_3.TXT,7,19672.77,4998
URS,R1_6_3.TXT,8,19962.25,4995
URS,R1_6_3.TXT,9,19650.14,4996
URS,R1_6_3.TXT,10,19787.37,4998
URS,R1_6_4.TXT,1,18820.77,4998
URS,R1_6_4.TXT,2,18914.96,4997
URS,R1_6_4.TXT,3,19034.13,4997
URS,R1_6_4.TXT,4,18825.54,4957
URS,R1_6_4.TXT,5,19151.75,4995
URS,R1_6_4.TXT,6,18837.27,4999
URS,R1_6_4.TXT,7,18920.22,4999
URS,R1_6_4.TXT,8,19309.06,4994
URS,R1_6_4.TXT,9,19019.93,4996
URS,R1_6_4.TXT,10,18950.89,4999
URS,R1_6_5.TXT,1,21597.10,4997
URS,R1_6_5.TXT,2,21619.17,4999
URS,R1_6_5.TXT,3,21820.21,4999
URS,R1_6_5.TXT,4,21562.25,4999
URS,R1_6_5.TXT,5,21720.93,4999
URS,R1_6_5.TXT,6,21548.96,4983
URS,R1_6_5.TXT,7,21333.25,4997
URS,R1_6_5.TXT,8,21304.09,4994
URS,R1_6_5.TXT,9,21498.02,4993
URS,R1_6_5.TXT,10,22191.72,4993
URS,R1_6_6.TXT,1,20283.27,4981
URS,R1_6_6.TXT,2,20269.32,4998
URS,R1_6_6.TXT,3,20381.89,4993
URS,R1_6_6.TXT,4,20482.93,4999
URS,R1_6_6.TXT,5,20027.52,4998
URS,R1_6_6.TXT,6,20432.40,4994
URS,R1_6_6.TXT,7,20118.87,4986
URS,R1_6_6.TXT,8,20782.73,4991
URS,R1_6_6.TXT,9,20075.79,4999
URS,R1_6_6.TXT,10,20180.56,4992
URS,R1_6_7.TXT,1,19162.14,4998
URS,R1_6_7.TXT,2,19424.64,4955
URS,R1_6_7.TXT,3,19145.59,4997
URS,R1_6_7.TXT,4,19098.89,4999
URS,R1_6_7.TXT,5,19600.63,4997
URS,R1_6_7.TXT,6,19600.60,4999
URS,R1_6_7.TXT,7,19484.70,4998
URS,R1_6_7.TXT,8,19244.12,4998
URS,R1_6_7.TXT,9,19403.48,4984
URS,R1_6_7.TXT,10,19713.49,4977
URS,R1_6_8.TXT,1,19220.75,4996
URS,R1_6_8.TXT,2,18755.00,4999
URS,R1_6_8.TXT,3,18826.09,4999
URS,R1_6_8.TXT,4,18995.68,4998
URS,R1_6_8.TXT,5,18747.88,4977
URS,R1_6_8.TXT,6,18856.81,4984
URS,R1_6_8.TXT,7,19012.03,4997
URS,R1_6_8.TXT,8,18544.51,4999
URS,R1_6_8.TXT,9,18923.10,4993
URS,R1_6_8.TXT,10,18799.83,4950
URS,R1_6_9.TXT,1,20808.65,4997
URS,R1_6_9.TXT,2,20991.94,4990
URS,R1_6_9.TXT,3,20888.83,4996
URS,R1_6_9.TXT,4,21111.41,4991
URS,R1_6_9.TXT,5,21158.82,4997
URS,R1_6_9.TXT,6,20820.25,4998
URS,R1_6_9.TXT,7,20910.82,4999
URS,R1_6_9.TXT,8,20847.77,4998
URS,R1_6_9.TXT,9,20622.04,4977
URS,R1_6_9.TXT,10,21294.83,4994
URS,R2_6_1.TXT,1,16537.95,4995
URS,R2_6_1.TXT,2,17037.01,4985
URS,R2_6_1.TXT,3,16521.85,4955
URS,R2_6_1.TXT,4,17114.29,4998
URS,R2_6_1.TXT,5,16691.30,4987
URS,R2_6_1.TXT,6,16757.39,4998
URS,R2_6_1.TXT,7,16793.39,4990
URS,R2_6_1.TXT,8,16465.54,4998
URS,R2_6_1.TXT,9,16620.95,2231
URS,R2_6_1.TXT,10,16560.76,4998
URS,R2_6_10.TXT,1,12715.53,4994
URS,R2_6_10.TXT,2,13112.62,4998
URS,R2_6_10.TXT,3,12889.54,4996
URS,R2_6_10.TXT,4,12976.42,4999
URS,R2_6_10.TXT,5,13256.41,4994
URS,R2_6_10.TXT,6,12809.88,4882
URS,R2_6_10.TXT,7,13132.38,4999
URS,R2_6_10.TXT,8,13263.39,4997
URS,R2_6_10.TXT,9,12832.14,4998
URS,R2_6_10.TXT,10,12963.93,4994
URS,R2_6_2.TXT,1,14343.52,4999
URS,R2_6_2.TXT,2,14315.95,4997
URS,R2_6_2.TXT,3,14634.70,4846
URS,R2_6_2.TXT,4,14533.77,4999
URS,R2_6_2.TXT,5,14462.27,4993
URS,R2_6_2.TXT,6,14395.95,4989
URS,R2_6_2.TXT,7,14140.28,4996
URS,R2_6_2.TXT,8,14368.11,4997
URS,R2_6_2.TXT,9,14467.46,4999
URS,R2_6_2.TXT,10,14380.64,4998
URS,R2_6_3.TXT,1,11422.16,4999
URS,R2_6_3.TXT,2,11546.82,4996
URS,R2_6_3.TXT,3,11484.75,4997
URS,R2_6_3.TXT,4,11618.55,4999
URS,R2_6_3.TXT,5,11673.62,4999
URS,R2_6_3.TXT,6,11475.11,4995
URS,R2_6_3.TXT,7,11516.86,4994
URS,R2_6_3.TXT,8,11476.40,4999
URS,R2_6_3.TXT,9,11564.94,4995
URS,R2_6_3.TXT,10,11433.78,4998
URS,R2_6_4.TXT,1,8869.24,4997
URS,R2_6_4.TXT,2,8836.82,4957
URS,R2_6_4.TXT,3,8799.46,4996
URS,R2_6_4.TXT,4,8752.40,4999
URS,R2_6_4.TXT,5,8820.96,4999
URS,R2_6_4.TXT,6,8775.29,4999
URS,R2_6_4.TXT,7,8738.18,4994
URS,R2_6_4.TXT,8,8701.26,4999
URS,R2_6_4.TXT,9,8758.25,4976
URS,R2_6_4.TXT,10,8600.26,4973
URS,R2_6_5.TXT,1,15360.41,4979
URS,R2_6_5.TXT,2,15377.64,4596
URS,R2_6_5.TXT,3,15377.15,4770
URS,R2_6_5.TXT,4,15412.05,3392
URS,R2_6_5.TXT,5,15367.48,4996
URS,R2_6_5.TXT,6,15310.89,4547
URS,R2_6_5.TXT,7,15404.99,4894
URS,R2_6_5.TXT,8,15191.10,4995
URS,R2_6_5.TXT,9,15218.44,4990
URS,R2_6_5.TXT,10,15098.96,4998
URS,R2_6_6.TXT,1,13370.49,4972
URS,R2_6_6.TXT,2,13299.22,4912
URS,R2_6_6.TXT,3,13075.95,4998
URS,R2_6_6.TXT,4,13278.75,4972
URS,R2_6_6.TXT,5,13310.27,4953
URS,R2_6_6.TXT,6,13289.95,4991
URS,R2_6_6.TXT,7,13089.88,4977
URS,R2_6_6.TXT,8,13084.68,4998
URS,R2_6_6.TXT,9,13287.67,4999
URS,R2_6_6.TXT,10,13174.33,4997
URS,R2_6_7.TXT,1,10681.81,4993
URS,R2_6_7.TXT,2,10661.31,4999
URS,R2_6_7.TXT,3,10679.27,4997
URS,R2_6_7.TXT,4,10750.56,4998
URS,R2_6_7.TXT,5,10893.54,4999
URS,R2_6_7.TXT,6,10785.45,4999
