algorithm,instance,run,best_cost,iteration_found_best
DRLH,C2_6_3.TXT,3,9703.74,4973
DRLH,C2_6_3.TXT,4,9232.20,4999
DRLH,C2_6_3.TXT,5,9520.17,5000
DRLH,C2_6_3.TXT,6,9409.55,4996
DRLH,C2_6_3.TXT,7,9654.84,4935
DRLH,C2_6_3.TXT,8,9034.96,4999
DRLH,C2_6_3.TXT,9,9995.71,4999
DRLH,C2_6_3.TXT,10,9598.05,4681
DRLH,C2_6_10.TXT,1,9061.04,4983
DRLH,C2_6_10.TXT,2,8983.58,4987
DRLH,C2_6_10.TXT,3,9153.93,3880
DRLH,C2_6_10.TXT,4,9058.02,4997
DRLH,C2_6_10.TXT,5,8812.44,5000
DRLH,C2_6_10.TXT,6,9849.27,4965
DRLH,C2_6_10.TXT,7,8632.15,4973
DRLH,C2_6_10.TXT,8,8907.35,4965
DRLH,C2_6_10.TXT,9,8614.87,4995
DRLH,C2_6_10.TXT,10,8685.99,4986
DRLH,C2_6_4.TXT,1,8883.70,4976
DRLH,C2_6_4.TXT,2,8920.43,4999
DRLH,C2_6_4.TXT,3,8660.40,4997
DRLH,C2_6_4.TXT,4,8747.56,5000
DRLH,C2_6_4.TXT,5,8954.97,4998
DRLH,C2_6_4.TXT,6,8836.90,5000
DRLH,C2_6_4.TXT,7,9210.42,4978
DRLH,C2_6_4.TXT,8,9292.77,4997
DRLH,C2_6_4.TXT,9,8837.32,5000
DRLH,C2_6_4.TXT,10,8545.57,5000
DRLH,C2_6_5.TXT,1,9035.83,4989
DRLH,C2_6_5.TXT,2,9111.94,4996
DRLH,C2_6_5.TXT,3,8509.17,4990
DRLH,C2_6_5.TXT,4,8799.76,4995
DRLH,C2_6_5.TXT,5,8866.99,4995
DRLH,C2_6_5.TXT,6,9049.09,4998
DRLH,C2_6_5.TXT,7,9011.33,4999
DRLH,C2_6_5.TXT,8,9165.40,5000
DRLH,C2_6_5.TXT,9,8883.83,4221
DRLH,C2_6_5.TXT,10,8810.97,5000
DRLH,C2_6_6.TXT,1,9051.93,5000
DRLH,C2_6_6.TXT,2,9233.89,4999
DRLH,C2_6_6.TXT,3,9308.27,4995
DRLH,C2_6_6.TXT,4,9575.07,5000
DRLH,C2_6_6.TXT,5,8849.40,4998
DRLH,C2_6_6.TXT,6,9333.26,3762
DRLH,C2_6_6.TXT,7,9229.14,4999
DRLH,C2_6_6.TXT,8,9499.45,4995
DRLH,C2_6_6.TXT,9,10014.67,4986
DRLH,C2_6_6.TXT,10,9116.83,5000
DRLH,C2_6_7.TXT,1,9615.91,4997
