algorithm,instance,run,best_cost,iteration_found_best
RRT,C2_6_10.TXT,2,8063.57,4998
RRT,C2_6_10.TXT,3,8071.34,4999
RRT,C2_6_10.TXT,4,8168.00,4992
RRT,C2_6_10.TXT,5,8191.03,4995
RRT,C2_6_10.TXT,6,8247.95,4998
RRT,C2_6_10.TXT,7,7998.14,4998
RRT,C2_6_10.TXT,8,8483.74,4997
RRT,C2_6_10.TXT,9,8200.16,4999
RRT,C2_6_10.TXT,10,8043.78,4999
RRT,C2_6_2.TXT,1,8420.38,4993
RRT,C2_6_2.TXT,2,8332.82,4984
RRT,C2_6_2.TXT,3,8222.42,4998
RRT,C2_6_2.TXT,4,8194.53,4982
RRT,C2_6_2.TXT,5,8335.61,4941
RRT,C2_6_2.TXT,6,8163.31,4995
RRT,C2_6_2.TXT,7,8234.29,4981
RRT,C2_6_2.TXT,8,8113.24,4999
RRT,C2_6_2.TXT,9,8191.60,4987
RRT,C2_6_2.TXT,10,8322.76,4871
RRT,C2_6_3.TXT,1,7975.82,4998
RRT,C2_6_3.TXT,2,7865.07,4996
RRT,C2_6_3.TXT,3,7689.48,4940
RRT,C2_6_3.TXT,4,7974.92,4997
RRT,C2_6_3.TXT,5,8083.71,4999
RRT,C2_6_3.TXT,6,8159.64,4999
RRT,C2_6_3.TXT,7,8137.93,4998
RRT,C2_6_3.TXT,8,8098.37,4998
RRT,C2_6_3.TXT,9,8205.75,4994
RRT,C2_6_3.TXT,10,7980.06,4994
RRT,C2_6_4.TXT,1,7927.07,4996
RRT,C2_6_4.TXT,2,7572.66,4990
RRT,C2_6_4.TXT,3,7850.26,4995
RRT,C2_6_4.TXT,4,7621.59,4995
RRT,C2_6_4.TXT,5,8046.27,4993
RRT,C2_6_4.TXT,6,7877.66,4993
RRT,C2_6_4.TXT,7,7773.96,4999
RRT,C2_6_4.TXT,8,7609.45,4998
RRT,C2_6_4.TXT,9,7687.98,4999
RRT,C2_6_4.TXT,10,7935.60,4999
RRT,C2_6_5.TXT,1,8705.94,4877
RRT,C2_6_5.TXT,2,8730.20,4996
RRT,C2_6_5.TXT,3,8577.83,4996
RRT,C2_6_5.TXT,4,8337.99,4995
RRT,C2_6_5.TXT,5,7988.48,4993
RRT,C2_6_5.TXT,6,8432.26,4983
RRT,C2_6_5.TXT,7,8520.61,4996
RRT,C2_6_5.TXT,8,8563.02,4983
RRT,C2_6_5.TXT,9,8766.46,4997
RRT,C2_6_5.TXT,10,8261.41,4998
RRT,C2_6_6.TXT,1,8447.75,4997
RRT,C2_6_6.TXT,2,8681.46,4978
RRT,C2_6_6.TXT,3,8382.65,4994
RRT,C2_6_6.TXT,4,8378.28,4998
RRT,C2_6_6.TXT,5,8857.09,4999
RRT,C2_6_6.TXT,6,8517.14,4999
RRT,C2_6_6.TXT,7,8872.28,4999
RRT,C2_6_6.TXT,8,8302.97,3669
RRT,C2_6_6.TXT,9,8364.84,4757
RRT,C2_6_6.TXT,10,8612.74,4920
RRT,C2_6_7.TXT,1,8476.75,4996
RRT,C2_6_7.TXT,2,8454.71,4992
RRT,C2_6_7.TXT,3,8661.24,4992
RRT,C2_6_7.TXT,4,8485.64,4997
RRT,C2_6_7.TXT,5,8105.53,4999
RRT,C2_6_7.TXT,6,8419.77,4998
RRT,C2_6_7.TXT,7,8388.99,4999
RRT,C2_6_7.TXT,8,8461.40,4998
RRT,C2_6_7.TXT,9,8796.97,4998
RRT,C2_6_7.TXT,10,8439.50,4991
RRT,C2_6_8.TXT,1,8396.77,4998
RRT,C2_6_8.TXT,2,8279.11,4943
RRT,C2_6_8.TXT,3,8489.83,4999
RRT,C2_6_8.TXT,4,8303.45,4999
RRT,C2_6_8.TXT,5,8135.65,4997
RRT,C2_6_8.TXT,6,8309.42,4996
RRT,C2_6_8.TXT,7,8462.83,4999
RRT,C2_6_8.TXT,8,8106.09,4991
RRT,C2_6_8.TXT,9,8138.96,4993
RRT,C2_6_8.TXT,10,8210.67,4996
RRT,C2_6_9.TXT,1,8178.35,4997
RRT,C2_6_9.TXT,2,8421.61,4989
RRT,C2_6_9.TXT,3,8500.09,4997
RRT,C2_6_9.TXT,4,8310.22,4995
RRT,C2_6_9.TXT,5,8469.91,4998
RRT,C2_6_9.TXT,6,8266.79,4989
RRT,C2_6_9.TXT,7,8690.28,4997
RRT,C2_6_9.TXT,8,8719.06,4995
RRT,C2_6_9.TXT,9,8455.60,4999
RRT,C2_6_9.TXT,10,8353.09,4995
RRT,R1_6_1.TXT,1,23649.08,4981
RRT,R1_6_1.TXT,2,23366.37,4978
RRT,R1_6_1.TXT,3,23372.30,4994
RRT,R1_6_1.TXT,4,23887.87,4989
RRT,R1_6_1.TXT,5,23553.17,4999
RRT,R1_6_1.TXT,6,23531.05,4996
RRT,R1_6_1.TXT,7,23761.06,4994
RRT,R1_6_1.TXT,8,23407.65,4981
RRT,R1_6_1.TXT,9,23367.04,4995
RRT,R1_6_1.TXT,10,23341.16,4999
RRT,R1_6_10.TXT,1,19795.90,4992
RRT,R1_6_10.TXT,2,19628.46,4978
RRT,R1_6_10.TXT,3,19996.27,4997
RRT,R1_6_10.TXT,4,19690.83,4977
RRT,R1_6_10.TXT,5,20281.95,4852
RRT,R1_6_10.TXT,6,19739.81,4995
RRT,R1_6_10.TXT,7,19926.84,4999
RRT,R1_6_10.TXT,8,20268.89,4999
RRT,R1_6_10.TXT,9,19713.33,4994
RRT,R1_6_10.TXT,10,19599.04,4978
RRT,R1_6_2.TXT,1,20980.38,4997
RRT,R1_6_2.TXT,2,21041.83,4999
RRT,R1_6_2.TXT,3,20743.50,4984
RRT,R1_6_2.TXT,4,21216.27,4999
RRT,R1_6_2.TXT,5,21058.77,4993
RRT,R1_6_2.TXT,6,20909.76,4995
RRT,R1_6_2.TXT,7,20843.55,4999
RRT,R1_6_2.TXT,8,20994.29,4969
RRT,R1_6_2.TXT,9,21032.90,4995
