Kundenr,Alle kunder,Antall leveranser,Antall min. per lev.,Minutter pr M3
8302,BULDREHALLEN ,19,1.894736842105263,4.857971796774847
3070,BUNNPRIS BRATTVÅG ,251,10.286852589641434,2.6541854844939587
3087,BUNNPRIS BROA ,171,11.280701754385966,3.6411285573203096
6343,BUNNPRIS BRYGGJA ,248,12.185483870967742,2.528056004990057
3096,BUNNPRIS EID ,198,15.434343434343434,2.3685874399435005
3095,BUNNPRIS HAREID ,247,14.8582995951417,2.5174268876296146
3083,BUNNPRIS IKORNES ,201,20.935323383084576,3.0321795385786556
3079,BUNNPRIS LANGEVÅG ,252,8.551587301587302,2.6400416849718753
2943,BUNNPRIS NØRVE ,155,10.787096774193548,3.019572100627458
13116,BUNNPRIS OLDEIDE ,153,15.013071895424837,2.4152155255479544
3086,BUNNPRIS OLDEN ,202,19.900990099009903,3.4890728747028614
3071,BUNNPRIS SJØHOLT ,234,20.521367521367523,2.567306261496908
3054,BUNNPRIS SKANSEN ,190,10.805263157894737,3.3832176944691406
3076,BUNNPRIS SPJELKAVIK ,248,13.451612903225806,2.3273904251367203
3092,BUNNPRIS STAD ,152,24.907894736842106,2.455776116452515
6340,BUNNPRIS STRAUMGJERDE ,201,14.233830845771145,3.3075612920529807
3097,BUNNPRIS STRYN ,154,12.357142857142858,2.6881742834217994
3078,BUNNPRIS TORGHALLEN ,300,12.71,2.7537584433426003
3077,BUNNPRIS ULSTEINVIK ,250,14.008,4.071099343647413
3080,BUNNPRIS VALDERØY ,199,15.43718592964824,2.1797178502827865
3089,BUNNPRIS VALLDAL ,162,28.006172839506174,3.213650937527589
3075,BUNNPRIS VATNE ,251,14.071713147410359,2.2951025137558654
3081,BUNNPRIS VEDDE ,252,12.75,1.93774342185562
3066,BUNNPRIS VOLDA ,138,15.043478260869565,4.06221465681487
3093,BUNNPRIS ØRSTA ,299,9.812709030100335,1.7804981923756076
6672,BURGER KING DIGERNES AVD 5065 ,135,3.2074074074074073,13.94524959742351
8308,"BURGER KING MOA, AVD 5043 ÅLES ",94,2.5319148936170213,10.004203446826399
7872,BURGER KING VOLDA AVD.5087 ,99,3.9797979797979797,20.020325203252032
8534,BURGER KING ÅLESUND AVD.5049 ,98,4.0,13.990007137758743
9178,BYBADET ,60,9.416666666666666,12.20575225779413
1863,BYGG 1 PRODUKTER KANTINE ,9,3.3333333333333335,8.106903027928281
2696,BØLGEN BAR & RESTAURANT ,24,9.625,14.77337262666728
1053,CAFE GOBETEN ,5,3.6,11.743981209630064
9315,CAFÈ HERMAN ,13,8.23076923076923,10.35079522160859
2960,CAFE NOVA ,52,8.403846153846153,6.521084816034528
7889,CATS BRYGGEN ,1,15.0,103.96451344607708
9165,CCD DRIKKE ARB.PLASS ÅLESUND ,20,1.55,3.6075455889027253
890,CENTRUMSKIOSKEN ,53,10.264150943396226,3.884745596651578
5102,CHINA HOUSE ,16,9.125,28.130858588485996
902,CHINA RESTAURANT EID ,67,4.955223880597015,9.829476349450912
1047,CHRISTIAN GAARD BYGDETUN AS ,23,6.6521739130434785,4.643586524129804
3060,CHRISTINEBORG GJESTEHUS AS ,9,3.4444444444444446,7.555797124409854
9172,CINQUE MINUTI ,79,5.6835443037974684,7.321900080361524
8029,COLOR LINE KIOSKDRIFT ,24,5.625,4.0808824863033495
8953,COOP OBS KAFE AVD 5289 ,102,6.862745098039215,6.3620961579937525
8125,DALANE BARNEHAGE ,13,6.384615384615385,24.049605934167822
3329,DALSFJORDEN FOTBALLKLUBB ,1,1.0,4.610419548178884
9236,DAMPSENTRALEN ,93,8.924731182795698,17.204950133628568
1847,DET LILLE NAPOLI ØRSTA ,63,4.333333333333333,3.4215028293196483
9290,DEVIES ,22,4.863636363636363,10.098140715231489
1048,DIDRIKS KAFE & GAVER ,61,5.229508196721311,12.018488126939351
9267,DIRTY NELLY ,57,3.6666666666666665,7.978469584470615
6083,DIS KAFFEBAR ,24,4.708333333333333,8.568018694961852
6460,DREGES HOTEL ,78,6.230769230769231,15.93231062760519
8947,DRÅPE ÅLESUND KAFFEHUS AS ,100,5.59,6.654522658828217
8945,DAASKOGEN RENEX ,54,2.685185185185185,8.812896732299448
13246,EBBEGARDEN BARNEHAGE EMBLEM ,41,2.5365853658536586,8.843537414965986
9299,EGON MOA MOANOR ,102,11.176470588235293,3.7940335029133196
13169,EGON ÅLESUND ,130,10.015384615384615,5.822337671258117
