,FLISNESVEGEN 1,LERSTADVEGEN 545,LORKENESTORGET,SMEDGARDEN 1,Øvre Geilegrend 1,FOGD GREVES VEG 3,KONGENS GATE 6,Gamle Blindheimsveg 25,Spjelkavikvegen 61,SPJELKAVIKVEGEN 42,SKAREGATA 1,Rasmus Rønnebergs gate 21,BROGATA 1,KONGENS GATE 28A,SKANSEKAIA 4A,SORENSKRIVER BULLS GATE 7,PARKGATA 11B,KONGENS GATE 27,RASMUS RØNNEBERGS GATE 4,LARSGÅRDSVEGEN 19,SUNDGATA 8,RASMUS RØNNEBERGS GATE 6,NEDRE STRANDGATE 51,NØRVEGATA 23,NEDRE KLOKKERSUNDVEGEN 2,LERSTADVEGEN 291,APOTEKERGATA 1-3,APOTEKERGATA 5,SKARBØVIKGATA 25,OLE THORESENS GATE 16,JOHS. AARFLOTS GATE 4,KIPERVIKGATA 5,KIRKEGATA 1 A,SKARBØVIKGATA 26,APOTEKERGATA 8,KONGENS GATE 28,SJØMANNSVEGEN 14,NEDRE STRANDGATE 9,FJORDGATA 52,KEISER WILHELMS GATE 39,GJERDEGATA 4,NOTENESGATA 3,HATLASKARET 1,SJØMANNSVEGEN 1,KIRKEGATA 2,KONGENS GATE 11,KONGENS GATE 30,SKATEFLUKAIA 1B,KEISER WILHELMS GATE 2,RINGGATA 15E,KORSEGATA 4,RASMUS RØNNEBERGS GATE 21,PARKGATA 22,TOLLBUGATA 2,LORKENESGATA 1,RÅDSTUGATA 3B,SOLAVÅGSEIDET 76,APOTEKERGATA 6,KEISER WILHELMS GATE 32,POSTVEGEN 17,POSTVEGEN 11,POSTVEGEN 15,KONGENS GATE 25,KONGENS GATE 32A,BLINDHEIM INDUSTRIVEG 2D,Depot
RASMUS RØNNEBERGS GATE 21,1208.6,852.9,67.0,598.6,678.2,385.5,47.2,1092.1,898.2,906.3,58.4,0.0,202.2,88.7,99.8,72.0,52.3,94.0,51.9,388.5,83.3,48.1,119.6,271.3,427.2,557.8,82.1,80.7,301.1,350.6,174.5,38.7,95.3,288.9,76.9,88.7,328.8,77.1,168.0,47.6,59.7,47.5,535.6,252.3,80.8,52.6,89.2,68.0,111.9,214.3,76.4,0.0,55.9,75.5,66.8,67.7,1220.3,79.7,58.6,795.6,828.2,799.8,88.3,90.0,1178.9,1298.8
PARKGATA 22,1177.5,821.8,86.5,567.5,647.1,343.6,51.7,1061.0,867.1,875.2,62.9,61.8,221.7,96.0,107.1,76.5,3.6,101.3,71.4,357.4,52.2,67.6,139.1,229.4,396.1,526.7,101.6,100.2,320.6,370.1,194.0,53.4,114.8,308.4,96.4,96.0,297.7,96.6,187.5,62.3,26.2,67.0,504.5,221.2,100.3,72.1,96.5,73.8,131.4,233.8,79.1,61.8,0.0,82.8,86.3,46.1,1189.2,99.2,73.3,764.5,797.1,768.7,95.6,97.3,1147.8,1267.7
TOLLBUGATA 2,1227.2,871.5,71.8,617.2,696.8,404.1,50.4,1110.7,916.8,924.9,21.9,80.6,207.0,11.6,24.3,13.0,79.9,16.9,56.7,407.1,110.9,52.9,124.4,289.9,445.8,576.4,86.9,85.5,305.9,355.4,179.3,66.3,100.1,293.7,81.7,11.6,347.4,81.9,172.8,75.2,87.3,52.3,554.2,270.9,85.6,44.1,12.1,17.3,116.7,219.1,75.2,80.6,83.5,0.0,71.6,95.3,1238.9,84.5,86.2,814.2,846.8,818.4,11.2,12.9,1197.5,1317.4
LORKENESGATA 1,1189.9,834.2,26.7,579.9,659.5,366.8,83.3,1073.4,879.5,887.6,71.5,72.3,161.9,94.1,105.2,93.9,88.4,99.4,24.5,369.8,87.2,22.6,79.3,252.6,408.5,539.1,41.8,40.4,260.8,310.3,134.2,74.7,55.0,248.6,36.6,94.1,310.1,36.8,127.7,59.4,87.3,23.2,516.9,233.6,40.5,58.0,94.6,73.4,45.1,174.0,35.2,72.3,92.0,80.9,0.0,73.2,1201.6,39.4,51.8,776.9,809.5,781.1,93.7,95.4,1160.2,1280.1
RÅDSTUGATA 3B,1156.9,801.2,85.3,546.9,626.5,333.8,67.9,1040.4,846.5,854.6,79.1,78.0,220.5,114.5,125.6,92.7,64.2,119.8,83.1,336.8,31.6,81.9,137.9,219.6,375.5,506.1,100.4,99.0,319.4,368.9,192.8,37.7,113.6,307.2,95.2,114.5,277.1,95.4,186.3,54.5,40.8,81.3,483.9,200.6,99.1,78.4,115.0,93.8,117.7,232.6,51.0,78.0,67.8,101.3,100.6,0.0,1168.6,98.0,46.9,743.9,776.5,748.1,114.1,115.8,1127.2,1247.1
SOLAVÅGSEIDET 76,456.6,540.8,1222.0,928.8,659.7,976.1,1209.0,340.1,411.3,436.8,1228.6,1219.1,1357.2,1251.2,1262.3,1233.8,1198.6,1256.5,1219.8,955.7,1133.7,1218.6,1274.6,1054.9,988.0,775.6,1237.1,1235.7,1456.1,1505.6,1329.5,1178.8,1250.3,1443.9,1231.9,1251.2,1129.6,1232.1,1323.0,1191.2,1175.2,1218.0,881.8,1053.1,1235.8,1215.1,1251.7,1230.5,1254.4,1369.3,1187.7,1219.1,1202.2,1238.0,1237.3,1164.8,0.0,1234.7,1183.6,494.9,527.5,499.1,1250.8,1252.5,343.7,337.4
APOTEKERGATA 6,1224.2,868.5,38.0,614.2,693.8,401.1,100.8,1107.7,913.8,921.9,89.0,89.8,140.4,111.6,122.7,111.4,105.9,116.9,36.3,404.1,121.5,40.1,68.3,286.9,442.8,573.4,2.4,1.0,239.3,288.8,104.3,92.3,25.2,227.1,2.8,111.6,344.4,28.7,116.7,93.7,113.3,40.7,551.2,267.9,10.6,75.5,112.1,90.9,79.4,152.5,69.5,89.8,109.5,98.4,34.3,107.5,1235.9,0.0,86.1,811.2,843.8,815.4,111.2,112.9,1194.5,1314.4
KEISER WILHELMS GATE 32,1173.4,817.7,81.8,563.4,643.0,350.3,47.0,1056.9,863.0,871.1,58.2,57.1,217.0,91.3,102.4,71.8,57.6,96.6,66.7,353.3,49.9,62.9,134.4,236.1,392.0,522.6,96.9,95.5,315.9,365.4,189.3,22.9,110.1,303.7,91.7,91.3,293.6,91.9,182.8,7.6,35.5,62.3,500.4,217.1,95.6,67.4,91.8,69.1,125.1,229.1,58.4,57.1,61.2,78.1,81.6,27.7,1185.1,94.5,0.0,760.4,793.0,764.6,90.9,92.6,1143.7,1263.6
POSTVEGEN 17,485.0,129.3,792.5,613.9,340.4,546.6,779.5,368.5,174.6,182.7,799.1,789.6,927.7,821.7,832.8,804.3,769.1,827.0,790.3,526.2,704.2,789.1,845.1,625.4,562.9,350.5,807.6,806.2,1026.6,1076.1,900.0,749.3,820.8,1014.4,802.4,821.7,700.1,802.6,893.5,761.7,745.7,788.5,566.9,623.6,806.3,785.6,822.2,801.0,824.9,939.8,758.2,789.6,772.7,808.5,807.8,735.3,496.7,805.2,754.1,0.0,52.0,14.8,821.3,823.0,455.3,575.2
POSTVEGEN 11,511.9,156.2,819.4,640.8,367.3,573.5,806.4,395.4,201.5,209.6,826.0,816.5,954.6,848.6,859.7,831.2,796.0,853.9,817.2,553.1,731.1,816.0,872.0,652.3,589.8,377.4,834.5,833.1,1053.5,1103.0,926.9,776.2,847.7,1041.3,829.3,848.6,727.0,829.5,920.4,788.6,772.6,815.4,593.8,650.5,833.2,812.5,849.1,827.9,851.8,966.7,785.1,816.5,799.6,835.4,834.7,762.2,523.6,832.1,781.0,52.8,0.0,52.6,848.2,849.9,482.2,602.1
POSTVEGEN 15,486.7,131.0,794.2,615.6,342.1,548.3,781.2,370.2,176.3,184.4,800.8,791.3,929.4,823.4,834.5,806.0,770.8,828.7,792.0,527.9,705.9,790.8,846.8,627.1,564.6,352.2,809.3,807.9,1028.3,1077.8,901.7,751.0,822.5,1016.1,804.1,823.4,701.8,804.3,895.2,763.4,747.4,790.2,568.6,625.3,808.0,787.3,823.9,802.7,826.6,941.5,759.9,791.3,774.4,810.2,809.5,737.0,498.4,806.9,755.8,17.9,52.7,0.0,823.0,824.7,457.0,576.9
KONGENS GATE 25,1233.9,878.2,97.0,623.9,703.5,410.8,48.1,1117.4,923.5,931.6,31.6,78.3,232.2,0.4,55.7,17.3,77.6,5.7,81.9,413.8,108.6,78.1,149.6,296.6,452.5,583.1,112.1,110.7,331.1,380.6,204.5,64.0,125.3,318.9,106.9,0.4,354.1,107.1,198.0,72.9,85.0,77.5,560.9,277.6,110.8,69.3,0.9,42.5,141.9,244.3,100.4,78.3,81.2,35.4,96.8,93.0,1245.6,109.7,83.9,820.9,853.5,825.1,0.0,1.7,1204.2,1324.1
KONGENS GATE 32A,1232.2,876.5,95.3,622.2,701.8,409.1,46.4,1115.7,921.8,929.9,29.9,76.6,230.5,44.1,54.0,15.6,75.9,4.0,80.2,412.1,106.9,76.4,147.9,294.9,450.8,581.4,110.4,109.0,329.4,378.9,202.8,62.3,123.6,317.2,105.2,44.1,352.4,105.4,196.3,71.2,83.3,75.8,559.2,275.9,109.1,67.6,44.6,40.8,140.2,242.6,98.7,76.6,79.5,33.7,95.1,91.3,1243.9,108.0,82.2,819.2,851.8,823.4,43.7,0.0,1202.5,1322.4
BLINDHEIM INDUSTRIVEG 2D,302.0,493.9,1175.1,881.9,612.8,929.2,1162.1,197.5,364.4,389.9,1181.7,1172.2,1310.3,1204.3,1215.4,1186.9,1151.7,1209.6,1172.9,908.8,1086.8,1171.7,1227.7,1008.0,941.1,728.7,1190.2,1188.8,1409.2,1458.7,1282.6,1131.9,1203.4,1397.0,1185.0,1204.3,1082.7,1185.2,1276.1,1144.3,1128.3,1171.1,834.9,1006.2,1188.9,1168.2,1204.8,1183.6,1207.5,1322.4,1140.8,1172.2,1155.3,1191.1,1190.4,1117.9,354.2,1187.8,1136.7,448.0,480.6,452.2,1203.9,1205.6,0.0,432.7
Depot,534.5,618.7,1299.9,1006.7,737.6,1054.0,1286.9,418.0,489.2,514.7,1306.5,1297.0,1435.1,1329.1,1340.2,1311.7,1276.5,1334.4,1297.7,1033.6,1211.6,1296.5,1352.5,1132.8,1065.9,853.5,1315.0,1313.6,1534.0,1583.5,1407.4,1256.7,1328.2,1521.8,1309.8,1329.1,1207.5,1310.0,1400.9,1269.1,1253.1,1295.9,959.7,1131.0,1313.7,1293.0,1329.6,1308.4,1332.3,1447.2,1265.6,1297.0,1280.1,1315.9,1315.2,1242.7,331.7,1312.6,1261.5,572.8,605.4,577.0,1328.7,1330.4,421.6,0.0
