,FLISNESVEGEN 1,LERSTADVEGEN 545,LORKENESTORGET,SMEDGARDEN 1,Øvre Geilegrend 1,FOGD GREVES VEG 3,KONGENS GATE 6,Gamle Blindheimsveg 25,Spjelkavikvegen 61,SPJELKAVIKVEGEN 42,SKAREGATA 1,Rasmus Rønnebergs gate 21,BROGATA 1,KONGENS GATE 28A,SKANSEKAIA 4A,SORENSKRIVER BULLS GATE 7,PARKGATA 11B,KONGENS GATE 27,RASMUS RØNNEBERGS GATE 4,LARSGÅRDSVEGEN 19,SUNDGATA 8,RASMUS RØNNEBERGS GATE 6,NEDRE STRANDGATE 51,NØRVEGATA 23,NEDRE KLOKKERSUNDVEGEN 2,LERSTADVEGEN 291,APOTEKERGATA 1-3,APOTEKERGATA 5,SKARBØVIKGATA 25,OLE THORESENS GATE 16,JOHS. AARFLOTS GATE 4,KIPERVIKGATA 5,KIRKEGATA 1 A,SKARBØVIKGATA 26,APOTEKERGATA 8,KONGENS GATE 28,SJØMANNSVEGEN 14,NEDRE STRANDGATE 9,FJORDGATA 52,KEISER WILHELMS GATE 39,GJERDEGATA 4,NOTENESGATA 3,HATLASKARET 1,SJØMANNSVEGEN 1,KIRKEGATA 2,KONGENS GATE 11,KONGENS GATE 30,SKATEFLUKAIA 1B,KEISER WILHELMS GATE 2,RINGGATA 15E,KORSEGATA 4,RASMUS RØNNEBERGS GATE 21,PARKGATA 22,TOLLBUGATA 2,LORKENESGATA 1,RÅDSTUGATA 3B,SOLAVÅGSEIDET 76,APOTEKERGATA 6,KEISER WILHELMS GATE 32,POSTVEGEN 17,POSTVEGEN 11,POSTVEGEN 15,KONGENS GATE 25,KONGENS GATE 32A,BLINDHEIM INDUSTRIVEG 2D,Depot
KIPERVIKGATA 5,1193.3,837.6,101.7,583.3,662.9,370.2,66.9,1076.8,882.9,891.0,78.1,77.0,236.9,111.2,122.3,91.7,77.5,116.5,86.6,373.2,69.8,82.8,154.3,256.0,411.9,542.5,116.8,115.4,335.8,385.3,209.2,0.0,130.0,323.6,111.6,111.2,313.5,111.8,202.7,27.5,55.4,82.2,520.3,237.0,115.5,87.3,111.7,89.0,145.0,249.0,78.3,77.0,81.1,98.0,101.5,47.6,1205.0,114.4,19.9,780.3,812.9,784.5,110.8,112.5,1163.6,1283.5
KIRKEGATA 1 A,1228.5,872.8,42.3,618.5,698.1,405.4,105.1,1112.0,918.1,926.2,93.3,94.1,131.1,115.9,127.0,115.7,110.2,121.2,40.6,408.4,125.8,44.4,59.0,291.2,447.1,577.7,24.7,23.3,230.0,279.5,95.0,96.6,0.0,217.8,19.5,115.9,348.7,29.0,107.4,98.0,117.6,45.0,555.5,272.2,11.4,79.8,116.4,95.2,83.7,143.2,73.8,94.1,113.8,102.7,38.6,111.8,1240.2,22.3,90.4,815.5,848.1,819.7,115.5,117.2,1198.8,1318.7
SKARBØVIKGATA 26,1425.5,1069.8,239.3,815.5,895.1,602.4,302.1,1309.0,1115.1,1123.2,290.3,291.1,104.8,312.9,324.0,312.7,307.2,318.2,237.6,605.4,322.8,241.4,169.3,488.2,644.1,774.7,231.1,229.7,12.2,76.6,138.8,293.6,215.8,0.0,225.9,312.9,545.7,227.0,177.2,295.0,314.6,242.0,752.5,469.2,217.8,276.8,313.4,292.2,280.7,125.9,270.8,291.1,310.8,299.7,235.6,308.8,1437.2,228.7,287.4,1012.5,1045.1,1016.7,312.5,314.2,1395.8,1515.7
APOTEKERGATA 8,1221.4,865.7,35.2,611.4,691.0,398.3,98.0,1104.9,911.0,919.1,86.2,87.0,137.6,108.8,119.9,108.6,103.1,114.1,33.5,401.3,118.7,37.3,65.5,284.1,440.0,570.6,5.2,3.8,236.5,286.0,101.5,89.5,22.4,224.3,0.0,108.8,341.6,25.9,113.9,90.9,110.5,37.9,548.4,265.1,7.8,72.7,109.3,88.1,76.6,149.7,66.7,87.0,106.7,95.6,31.5,104.7,1233.1,2.8,83.3,808.4,841.0,812.6,108.4,110.1,1191.7,1311.6
KONGENS GATE 28,1233.5,877.8,96.6,623.5,703.1,410.4,47.7,1117.0,923.1,931.2,31.2,77.9,231.8,0.0,55.3,16.9,77.2,5.3,81.5,413.4,108.2,77.7,149.2,296.2,452.1,582.7,111.7,110.3,330.7,380.2,204.1,63.6,124.9,318.5,106.5,0.0,353.7,106.7,197.6,72.5,84.6,77.1,560.5,277.2,110.4,68.9,0.5,42.1,141.5,243.9,100.0,77.9,80.8,35.0,96.4,92.6,1245.2,109.3,83.5,820.5,853.1,824.7,45.0,1.3,1203.8,1323.7
SJØMANNSVEGEN 14,1121.5,765.8,332.6,511.5,591.1,274.3,319.6,1005.0,811.1,819.2,339.2,329.7,467.8,361.8,372.9,344.4,309.2,367.1,330.4,301.4,244.3,329.2,385.2,160.1,340.1,470.7,347.7,346.3,566.7,616.2,440.1,289.4,360.9,554.5,342.5,361.8,0.0,342.7,433.6,301.8,285.8,328.6,448.5,97.6,346.4,325.7,362.3,341.1,365.0,479.9,298.3,329.7,312.8,348.6,347.9,275.4,1133.2,345.3,294.2,708.5,741.1,712.7,361.4,363.1,1091.8,1211.7
NEDRE STRANDGATE 9,1211.8,856.1,25.6,601.8,681.4,388.7,88.4,1095.3,901.4,909.5,76.6,77.4,142.7,99.2,110.3,99.0,93.5,104.5,23.9,391.7,109.1,27.7,60.1,274.5,430.4,561.0,51.1,49.7,241.6,291.1,115.0,79.9,35.8,229.4,45.9,99.2,332.0,0.0,108.5,81.3,100.9,28.3,538.8,255.5,37.8,63.1,99.7,78.5,67.0,154.8,57.1,77.4,97.1,86.0,21.9,95.1,1223.5,48.7,73.7,798.8,831.4,803.0,98.8,100.5,1182.1,1302.0
FJORDGATA 52,1307.7,952.0,121.5,697.7,777.3,484.6,184.3,1191.2,997.3,1005.4,172.5,173.3,87.0,195.1,206.2,194.9,189.4,200.4,119.8,487.6,205.0,123.6,51.5,370.4,526.3,656.9,124.0,122.6,185.9,235.4,60.5,175.8,108.7,173.7,118.8,195.1,427.9,109.2,0.0,177.2,196.8,124.2,634.7,351.4,110.7,159.0,195.6,174.4,162.9,99.1,153.0,173.3,193.0,181.9,117.8,191.0,1319.4,121.6,169.6,894.7,927.3,898.9,194.7,196.4,1278.0,1397.9
KEISER WILHELMS GATE 39,1165.8,810.1,85.1,555.8,635.4,342.7,62.4,1049.3,855.4,863.5,73.6,72.5,220.3,114.3,125.4,87.2,51.3,119.6,82.9,345.7,42.3,81.7,137.7,228.5,384.4,515.0,100.2,98.8,319.2,368.7,192.6,32.2,113.4,307.0,95.0,114.3,286.0,95.2,186.1,0.0,27.9,81.1,492.8,209.5,98.9,78.2,114.8,93.6,117.5,232.4,50.8,72.5,54.9,101.1,100.4,20.1,1177.5,97.8,46.7,752.8,785.4,757.0,113.9,115.6,1136.1,1256.0
GJERDEGATA 4,1183.3,827.6,92.3,573.3,652.9,340.4,57.5,1066.8,872.9,881.0,68.7,67.6,227.5,101.8,112.9,82.3,23.4,107.1,77.2,363.2,58.0,73.4,144.9,226.2,401.9,532.5,107.4,106.0,326.4,375.9,199.8,59.2,120.6,314.2,102.2,101.8,303.5,102.4,193.3,68.1,0.0,72.8,510.3,227.0,106.1,77.9,102.3,79.6,137.2,239.6,84.9,67.6,27.0,88.6,92.1,51.9,1195.0,105.0,79.1,770.3,802.9,774.5,101.4,103.1,1153.6,1273.5
NOTENESGATA 3,1203.2,847.5,19.5,593.2,672.8,380.1,60.1,1086.7,892.8,900.9,48.3,49.1,154.7,70.9,82.0,70.7,65.2,76.2,4.4,383.1,96.2,0.6,72.1,265.9,421.8,552.4,34.6,33.2,253.6,303.1,127.0,51.6,47.8,241.4,29.4,70.9,323.4,29.6,120.5,60.5,72.6,0.0,530.2,246.9,33.3,34.8,71.4,50.2,64.4,166.8,51.2,49.1,68.8,57.7,19.3,80.6,1214.9,32.2,65.1,790.2,822.8,794.4,70.5,72.2,1173.5,1293.4
HATLASKARET 1,854.4,621.5,543.5,63.0,313.3,279.4,530.5,737.9,544.0,569.5,550.1,540.6,678.7,572.7,583.8,555.3,520.1,578.0,541.3,242.0,455.2,540.1,596.1,376.4,172.7,307.9,558.6,557.2,777.6,827.1,651.0,500.3,571.8,765.4,553.4,572.7,451.1,553.6,644.5,512.7,496.7,539.5,0.0,374.6,557.3,536.6,573.2,552.0,575.9,690.8,509.2,540.6,523.7,559.5,558.8,486.3,866.1,556.2,505.1,564.2,596.8,568.4,572.3,574.0,824.7,944.6
SJØMANNSVEGEN 1,1037.3,681.6,248.4,427.3,506.9,190.1,235.4,920.8,726.9,735.0,255.0,245.5,383.6,277.6,288.7,260.2,225.0,282.9,246.2,217.2,160.1,245.0,301.0,75.9,255.9,386.5,263.5,262.1,482.5,532.0,355.9,205.2,276.7,470.3,258.3,277.6,96.5,258.5,349.4,217.6,201.6,244.4,364.3,0.0,262.2,241.5,278.1,256.9,280.8,395.7,214.1,245.5,228.6,264.4,263.7,191.2,1049.0,261.1,210.0,624.3,656.9,628.5,277.2,278.9,1007.6,1127.5
KIRKEGATA 2,1222.2,866.5,36.0,612.2,691.8,399.1,98.8,1105.7,911.8,919.9,87.0,87.8,129.8,109.6,120.7,109.4,103.9,114.9,34.3,402.1,119.5,38.1,57.7,284.9,440.8,571.4,13.3,11.9,228.7,278.2,93.7,90.3,14.6,216.5,8.1,109.6,342.4,22.9,106.1,91.7,111.3,38.7,549.2,265.9,0.0,73.5,110.1,88.9,77.4,141.9,67.5,87.8,107.5,96.4,32.3,105.5,1233.9,10.9,84.1,809.2,841.8,813.4,109.2,110.9,1192.5,1312.4
KONGENS GATE 11,1224.3,868.6,68.9,614.3,693.9,401.2,42.0,1107.8,913.9,922.0,13.5,72.2,204.1,36.1,47.2,35.9,71.5,41.4,53.8,404.2,102.5,50.0,121.5,287.0,442.9,573.5,84.0,82.6,303.0,352.5,176.4,57.9,97.2,290.8,78.8,36.1,344.5,79.0,169.9,66.8,78.9,49.4,551.3,268.0,82.7,0.0,36.6,15.4,113.8,216.2,72.3,72.2,75.1,22.9,68.7,86.9,1236.0,81.6,77.8,811.3,843.9,815.5,35.7,37.4,1194.6,1314.5
KONGENS GATE 30,1233.0,877.3,96.1,623.0,702.6,409.9,47.2,1116.5,922.6,930.7,30.7,77.4,231.3,44.9,54.8,16.4,76.7,4.8,81.0,412.9,107.7,77.2,148.7,295.7,451.6,582.2,111.2,109.8,330.2,379.7,203.6,63.1,124.4,318.0,106.0,44.9,353.2,106.2,197.1,72.0,84.1,76.6,560.0,276.7,109.9,68.4,0.0,41.6,141.0,243.4,99.5,77.4,80.3,34.5,95.9,92.1,1244.7,108.8,83.0,820.0,852.6,824.2,44.5,0.8,1203.3,1323.2
SKATEFLUKAIA 1B,1217.4,861.7,62.0,607.4,687.0,394.3,40.4,1100.9,907.0,915.1,11.9,70.6,197.2,34.5,45.6,34.3,69.9,39.8,46.9,397.3,100.9,43.1,114.6,280.1,436.0,566.6,77.1,75.7,296.1,345.6,169.5,56.3,90.3,283.9,71.9,34.5,337.6,72.1,163.0,65.2,77.3,42.5,544.4,261.1,75.8,34.3,35.0,0.0,106.9,209.3,65.4,70.6,73.5,21.3,61.8,85.3,1229.1,74.7,76.2,804.4,837.0,808.6,34.1,35.8,1187.7,1307.6
KEISER WILHELMS GATE 2,1227.5,871.8,57.8,617.5,697.1,404.4,114.4,1111.0,917.1,925.2,102.6,103.4,193.0,125.2,136.3,125.0,119.5,130.5,55.6,407.4,124.8,53.7,110.4,290.2,446.1,576.7,72.9,71.5,291.9,341.4,161.0,105.9,86.1,279.7,67.7,125.2,347.7,67.9,158.8,97.0,124.9,54.3,554.5,271.2,71.6,89.1,125.7,104.5,0.0,205.1,72.8,103.4,123.1,112.0,72.1,110.8,1239.2,70.5,89.4,814.5,847.1,818.7,124.8,126.5,1197.8,1317.7
RINGGATA 15E,1348.0,992.3,161.8,738.0,817.6,524.9,224.6,1231.5,1037.6,1045.7,212.8,213.6,36.0,235.4,246.5,235.2,229.7,240.7,160.1,527.9,245.3,163.9,91.8,410.7,566.6,697.2,153.6,152.2,138.8,188.3,61.3,216.1,138.3,126.6,148.4,235.4,468.2,149.5,99.7,217.5,237.1,164.5,675.0,391.7,140.3,199.3,235.9,214.7,203.2,0.0,193.3,213.6,233.3,222.2,158.1,231.3,1359.7,151.2,209.9,935.0,967.6,939.2,235.0,236.7,1318.3,1438.2
KORSEGATA 4,1211.3,855.6,49.9,601.3,680.9,388.2,59.7,1094.8,900.9,909.0,41.0,48.7,185.1,63.6,74.7,63.4,64.8,68.9,34.8,391.2,95.8,31.0,102.5,274.0,429.9,560.5,65.0,63.6,284.0,333.5,157.4,51.2,78.2,271.8,59.8,63.6,331.5,60.0,150.9,60.1,72.2,30.4,538.3,255.0,63.7,27.5,64.1,42.9,94.8,197.2,0.0,48.7,68.4,50.4,49.7,80.2,1223.0,62.6,71.1,798.3,830.9,802.5,63.2,64.9,1181.6,1301.5
