,Kundenr,Alle kunder,Antall leveranser
354,2928,KIWI 914 ULSTEINVIK ,303
355,2953,KIWI 915 VALDERØY ,303
356,2955,KIWI 916 KREMMERGAARDEN ,258
357,2957,KIWI 917 MYRVÅG ,296
358,2959,KIWI 918 LANGEVÅG ,307
359,2956,KIWI 919 NEDRE STRANDGATE ,257
360,2947,KIWI 920 BREIVIKA ,307
361,2930,KIWI 921 VESTNES ,252
362,2963,KIWI 922 NORDFJORDEID ,296
363,2940,KIWI 923 HATLANE ,302
364,2961,KIWI 924 VALLEKRYSSET ,260
365,2985,KJELDSUND ,20
366,8358,KK MAT AS ,55
367,7927,KLIPRA KAFE ,42
368,9321,KOIWA RAMEN ,21
369,8410,KOIWA SUSHI ,19
370,6642,KOKARSTEINEN ,23
371,7908,KOLVIKBAKKEN U.SKOLE KANTINE ,29
372,7903,KOLVIKBAKKEN U.SKOLE MAT/HELSE ,12
373,6440,KOMMUNEHUSET STORDAL ,4
374,3567,KONTORPUNKT ,30
375,8231,KOZMOS/GODTELAND ,6
376,8173,KRUA THAI TAKEAWAY ,22
377,1862,KRØNSJI ,3
378,5854,KRÅEN GARD AS ,19
379,9186,KVIKK AMFI MOA ,14
380,9167,KVOTEBRUS STRAND ØYSTEIN ,4
381,9166,KVOTEBRUS ÅLESUND ,11
382,6344,KYSTEN RUNDT BRYGGJA ,36
383,8692,LAMELLA ,14
384,3201,LANDSCAPE KAFE ,1
385,8643,LANGEVÅG I.L. HÅNDBALL ,6
386,3295,LANTERNEN AS ,49
387,13258,LARSNES MEK VERKSTED AS ,61
388,3207,LEIRVIKS AGENTURER ,8
389,7916,LERSTAD BARNEHAGE ,37
390,8694,LETS EAT DELI ,96
391,3907,LINJA  AVD HØGVOLL 10012,46
392,3903,LINJA DRAGSUND KANT.306834,44
393,8649,LONG CHENG RESTAURANT AS ,74
394,7812,LONGVA BARNEHAGE ,4
395,3440,LONGVA SERVICESENTER ,34
396,9308,LUCKY BOWL,39
397,3425,LØSETHS O.A.J. EFTF. AS ,52
398,9253,LØVENVOLD THEATER AS ,24
399,8264,M SUPPLY 1 ÅLESUND ,6
400,8266,M SUPPLY 5 ÅLESUND ,4
401,8267,M SUPPLY 6 ÅLESUND ,3
